Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.5,0.000307000009343028,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,1,1,-0.0493794269859791,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,2,1.5,-0.0993725582957268,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,3,2,-0.149365693330765,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,4,2.5,-0.199358820915222,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,5,3,-0.249351963400841,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,6,3.5,-0.299345105886459,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,7,4,-0.349338233470917,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,8,4.5,-0.399331361055374,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,9,5,-0.44901779294014,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,10,5.5,-0.499010920524597,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,11,6,-0.549310743808746,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,12,6.5,-0.598997175693512,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,13,7,-0.648990333080292,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,14,7.5,-0.698983430862427,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,15,8,-0.748976588249207,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,16,8.5,-0.798969745635986,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,17,9,-0.848962843418121,-0.00208560307510197,0,0,0,0,-0.002284039,39
0,18,9.5,-0.898956000804901,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,19,10,-0.948949098587036,-0.00269901589490473,0,0,0,0,-0.002284039,39
0,20,10.5,-0.998635530471802,-0.0028830396477133,0,0,0,0,-0.002284039,39
0,21,11,-1.04862868785858,-0.00306706340052187,0,0,0,0,-0.002284039,39
0,22,11.5,-1.09862184524536,-0.00331242848187685,0,0,0,0,-0.002284039,39
0,23,12,-1.14861500263214,-0.0037418173160404,0,0,0,0,-0.002284039,39
0,24,12.5,-1.19860804080963,-0.00435522990301251,0,0,0,0,-0.002284039,39
0,25,13,-1.24860119819641,-0.00496864272281528,0,0,0,0,-0.002284039,39
0,26,13.5,-1.29859435558319,-0.0056433966383338,0,0,0,0,-0.002284039,39
0,27,14,-1.34858751296997,-0.0066248569637537,0,0,0,0,-0.002284039,39
0,28,14.5,-1.39858067035675,-0.00828107073903084,0,0,0,0,-0.002284039,39
0,29,15,-1.44857370853424,-0.0107347220182419,0,0,0,0,-0.002284039,39
0,30,15.5,-1.49856686592102,-0.0142925158143044,0,0,0,0,-0.002284039,39
0,31,16,-1.5485600233078,-0.0190771352499723,0,0,0,0,-0.002284039,39
0,32,16.5,-1.59855318069458,-0.0418347455561161,0,0,0,0,-0.002284039,39
0,33,17,-1.64823961257935,-0.07551109790802,0,0,0,0,-0.002284039,39
0,34,17.5,-1.68964493274689,-0.099986270070076,0,0,0,0,-0.002284039,39
1,35,18,-1.64885294437408,-0.0699903890490532,0,0,0,0,-0.002284039,39
1,36,18.5,-1.59885990619659,-0.0692542940378189,0,0,0,0,-0.002284039,39
1,37,19,-1.54886674880981,-0.0605438314378262,0,0,0,0,-0.002284039,39
1,38,19.5,-1.49887359142303,-0.0517106875777245,0,0,0,0,-0.002284039,39
1,39,20,-1.44918715953827,-0.04392034932971,0,0,0,0,-0.002284039,39
1,40,20.5,-1.39888727664948,-0.0377248786389828,0,0,0,0,-0.002284039,39
1,41,21,-1.34920084476471,-0.0336763560771942,0,0,0,0,-0.002284039,39
1,42,21.5,-1.29920780658722,-0.0314680710434914,0,0,0,0,-0.002284039,39
1,43,22,-1.24921464920044,-0.0329402610659599,0,0,0,0,-0.002284039,39
1,44,22.5,-1.19922149181366,-0.0337990373373032,0,0,0,0,-0.002284039,39
1,45,23,-1.14922833442688,-0.0292597841471434,0,0,0,0,-0.002284039,39
1,46,23.5,-1.0992351770401,-0.0186477452516556,0,0,0,0,-0.002284039,39
1,47,24,-1.04924213886261,-0.00386449997313321,0,0,0,0,-0.002284039,39
1,48,24.5,-0.99924898147583,0.0130043486133218,0,0,0,0,-0.002284039,39
1,49,25,-0.949562549591064,0.0318361185491085,0,0,0,0,-0.002284039,39
1,50,25.5,-0.899569392204285,0.0522627606987953,0,0,0,0,-0.002284039,39
1,51,26,-0.84957629442215,0.0717692822217941,0,0,0,0,-0.002284039,39
1,52,26.5,-0.79958313703537,0.0549004338681698,0,0,0,0,-0.002284039,39
1,53,27,-0.74958997964859,-0.00147219048812985,0,0,0,0,-0.002284039,39
1,54,27.5,-0.699596881866455,-0.000490730162709951,0,0,0,0,-0.002284039,39
1,55,28,-0.649603724479675,0.000613412703387439,0,0,0,0,-0.002284039,39
1,56,28.5,-0.59961062669754,0.00141084915958345,0,0,0,0,-0.002284039,39
1,57,29,-0.549617469310761,0.00177889678161591,0,0,0,0,-0.002284039,39
1,58,29.5,-0.499624341726303,0.00196292065083981,0,0,0,0,-0.002284039,39
1,59,30,-0.449631214141846,0.00208560307510197,0,0,0,0,-0.002284039,39
1,60,30.5,-0.399638056755066,0.00202426174655557,0,0,0,0,-0.002284039,39
1,61,31,-0.349951654672623,0.00202426174655557,0,0,0,0,-0.002284039,39
1,62,31.5,-0.299651801586151,0.00165621424093843,0,0,0,0,-0.002284039,39
1,63,32,-0.249965369701386,0.00141084915958345,0,0,0,0,-0.002284039,39
1,64,32.5,-0.199972242116928,0.00177889678161591,0,0,0,0,-0.002284039,39
1,65,33,-0.14997909963131,0.001840237993747,0,0,0,0,-0.002284039,39
1,66,33.5,-0.0999859720468521,0.0019015793222934,0,0,0,0,-0.002284039,39
1,67,34,-0.0499928407371044,0.00196292065083981,0,0,0,0,-0.002284039,39
1,68,34.5,2.93659866201779E-07,0.00196292065083981,0,0,0,0,-0.002284039,39
1,69,35,0.0496867224574089,0.001840237993747,0,0,0,0,-0.002284039,39
