Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.25,0.000307000009343028,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,1,0.5,-0.0493794269859791,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,2,0.75,-0.0993725582957268,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,3,1,-0.149365693330765,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,4,1.25,-0.199358820915222,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,5,1.5,-0.249351963400841,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,6,1.75,-0.299038380384445,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,7,2,-0.349031507968903,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,8,2.25,-0.399024665355682,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,9,2.5,-0.44901779294014,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,10,2.75,-0.499010920524597,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,11,3,-0.549004077911377,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,12,3.25,-0.598997175693512,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,13,3.5,-0.648990333080292,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,14,3.75,-0.698983430862427,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,15,4,-0.748976588249207,-0.001840237993747,0,0,0,0,-0.002284039,39
0,16,4.25,-0.798969745635986,-0.00208560307510197,0,0,0,0,-0.002284039,39
0,17,4.5,-0.848962843418121,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,18,4.75,-0.898649275302887,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,19,5,-0.948949098587036,-0.00263767456635833,0,0,0,0,-0.002284039,39
0,20,5.25,-0.998942255973816,-0.00276035699062049,0,0,0,0,-0.002284039,39
0,21,5.5,-1.04862868785858,-0.0028830396477133,0,0,0,0,-0.002284039,39
0,22,5.75,-1.09862184524536,-0.00306706340052187,0,0,0,0,-0.002284039,39
0,23,6,-1.14861500263214,-0.00343511090613902,0,0,0,0,-0.002284039,39
0,24,6.25,-1.19860804080963,-0.00404852349311113,0,0,0,0,-0.002284039,39
0,25,6.5,-1.24860119819641,-0.00502998381853104,0,0,0,0,-0.002284039,39
0,26,6.75,-1.29859435558319,-0.00650217430666089,0,0,0,0,-0.002284039,39
0,27,7,-1.34858751296997,-0.00852643605321646,0,0,0,0,-0.002284039,39
0,28,7.25,-1.39858067035675,-0.011041427962482,0,0,0,0,-0.002284039,39
0,29,7.5,-1.44857370853424,-0.0145378801971674,0,0,0,0,-0.002284039,39
0,30,7.75,-1.49856686592102,-0.0196292065083981,0,0,0,0,-0.002284039,39
0,31,8,-1.54825329780579,-0.0463126562535763,0,0,0,0,-0.002284039,39
0,32,8.25,-1.59824645519257,-0.0796823054552078,0,0,0,0,-0.002284039,39
0,33,8.5,-1.64823961257935,-0.11427878588438,0,0,0,0,-0.002284039,39
0,34,8.75,-1.69823276996613,-0.150838181376457,0,0,0,0,-0.002284039,39
1,35,9,-1.64854633808136,-0.135993584990501,0,0,0,0,-0.002284039,39
1,36,9.25,-1.59885990619659,-0.11943145096302,0,0,0,0,-0.002284039,39
1,37,9.5,-1.54886674880981,-0.104586862027645,0,0,0,0,-0.002284039,39
1,38,9.75,-1.49887359142303,-0.0907850787043571,0,0,0,0,-0.002284039,39
1,39,10,-1.44888043403625,-0.0763085409998894,0,0,0,0,-0.002284039,39
1,40,10.25,-1.39888727664948,-0.0632428452372551,0,0,0,0,-0.002284039,39
1,41,10.5,-1.34889423847198,-0.0522627606987953,0,0,0,0,-0.002284039,39
1,42,10.75,-1.29920780658722,-0.0396264605224133,0,0,0,0,-0.002284039,39
1,43,11,-1.24921464920044,-0.0262540634721518,0,0,0,0,-0.002284039,39
1,44,11.25,-1.19922149181366,-0.0124522773548961,0,0,0,0,-0.002284039,39
1,45,11.5,-1.14922833442688,0.00251499190926552,0,0,0,0,-0.002284039,39
1,46,11.75,-1.0992351770401,0.0184023808687925,0,0,0,0,-0.002284039,39
1,47,12,-1.04924213886261,0.0351485460996628,0,0,0,0,-0.002284039,39
1,48,12.25,-0.999555647373199,0.0526308082044125,0,0,0,0,-0.002284039,39
1,49,12.5,-0.949562549591064,0.0687635615468025,0,0,0,0,-0.002284039,39
1,50,12.75,-0.899569392204285,0.0595010295510292,0,0,0,0,-0.002284039,39
1,51,13,-0.84957629442215,0.0681501477956772,0,0,0,0,-0.002284039,39
1,52,13.25,-0.79958313703537,0.0728734284639359,0,0,0,0,-0.002284039,39
1,53,13.5,-0.74958997964859,0.0737935453653336,0,0,0,0,-0.002284039,39
1,54,13.75,-0.699596881866455,0.0818905904889107,0,0,0,0,-0.002284039,39
1,55,14,-0.649603724479675,0.086000457406044,0,0,0,0,-0.002284039,39
1,56,14.25,-0.59961062669754,0.000368047622032464,0,0,0,0,-0.002284039,39
1,57,14.5,-0.549617469310761,0.000122682540677488,0,0,0,0,-0.002284039,39
1,58,14.75,-0.499624341726303,0.000368047622032464,0,0,0,0,-0.002284039,39
1,59,15,-0.449631214141846,0.000368047622032464,0,0,0,0,-0.002284039,39
1,60,15.25,-0.399638056755066,0.000552071433048695,0,0,0,0,-0.002284039,39
1,61,15.5,-0.349951654672623,0.000736095244064927,0,0,0,0,-0.002284039,39
1,62,15.75,-0.299651801586151,0.00128816661890596,0,0,0,0,-0.002284039,39
1,63,16,-0.249965369701386,0.001840237993747,0,0,0,0,-0.002284039,39
1,64,16.25,-0.199972242116928,0.00214694440364838,0,0,0,0,-0.002284039,39
1,65,16.5,-0.14997909963131,0.00233096815645695,0,0,0,0,-0.002284039,39
1,66,16.75,-0.0999859720468521,0.00263767456635833,0,0,0,0,-0.002284039,39
1,67,17,-0.0499928407371044,0.00263767456635833,0,0,0,0,-0.002284039,39
1,68,17.25,2.93659866201779E-07,0.00251499190926552,0,0,0,0,-0.002284039,39
1,69,17.5,0.0496867224574089,0.00220828573219478,0,0,0,0,-0.002284039,39
1,70,17.75,0.0996798574924469,0.00196292065083981,0,0,0,0,-0.002284039,39
1,71,18,0.149672985076904,0.00177889678161591,0,0,0,0,-0.002284039,39
1,72,18.25,0.19935941696167,0.00177889678161591,0,0,0,0,-0.002284039,39
1,73,18.5,0.249352544546127,0.00171755545306951,0,0,0,0,-0.002284039,39
1,74,18.75,0.299345672130585,0.00171755545306951,0,0,0,0,-0.002284039,39
1,75,19,0.349338829517365,0.00177889678161591,0,0,0,0,-0.002284039,39
1,76,19.25,0.399331957101822,0.001840237993747,0,0,0,0,-0.002284039,39
