Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.05,0.000307000009343028,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,1,0.1,-0.00920089613646269,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,2,0.15,-0.0193222053349018,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,3,0.2,-0.0294435154646635,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,4,0.25,-0.0392581187188625,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,5,0.3,-0.0493794269859791,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,6,0.35,-0.0595007352530956,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,7,0.4,-0.0693153366446495,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,8,0.45,-0.0794366449117661,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,9,0.5,-0.0892512500286102,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,10,0.55,-0.0993725582957268,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,11,0.6,-0.109187163412571,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,12,0.65,-0.119308471679688,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,13,0.7,-0.129429787397385,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,14,0.75,-0.139244377613068,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,15,0.8,-0.149365693330765,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,16,0.85,-0.159180298447609,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,17,0.9,-0.169301599264145,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,18,0.95,-0.179422914981842,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,19,1,-0.189237520098686,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,20,1.05,-0.199358820915222,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,21,1.1,-0.209173426032066,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,22,1.15,-0.219294741749763,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,23,1.2,-0.229109346866608,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,24,1.25,-0.239230647683144,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,25,1.3,-0.249351963400841,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,26,1.35,-0.259166568517685,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,27,1.4,-0.269287884235382,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,28,1.45,-0.279102474451065,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,29,1.5,-0.289223790168762,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,30,1.55,-0.299345105886459,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,31,1.6,-0.309159696102142,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,32,1.65,-0.319281011819839,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,33,1.7,-0.329095602035522,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,34,1.75,-0.33921691775322,-0.00134950794745237,0,0,0,0,-0.002284039,39
