Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.2,0.000307000009343028,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,1,0.4,-0.00920089613646269,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,2,0.6,-0.0193222053349018,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,3,0.8,-0.0294435154646635,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,4,1,-0.0392581187188625,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,5,1.2,-0.0493794269859791,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,6,1.4,-0.0595007352530956,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,7,1.6,-0.0693153366446495,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,8,1.8,-0.0794366449117661,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,9,2,-0.0892512500286102,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,10,2.2,-0.0993725582957268,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,11,2.4,-0.109493866562843,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,12,2.6,-0.119308471679688,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,13,2.8,-0.129123076796532,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,14,3,-0.139244377613068,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,15,3.2,-0.149365693330765,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,16,3.4,-0.159180298447609,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,17,3.6,-0.169301599264145,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,18,3.8,-0.179422914981842,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,19,4,-0.189237520098686,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,20,4.2,-0.199358820915222,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,21,4.4,-0.209173426032066,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,22,4.6,-0.219294741749763,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,23,4.8,-0.229109346866608,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,24,5,-0.239230647683144,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,25,5.2,-0.249045252799988,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,26,5.4,-0.259166568517685,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,27,5.6,-0.269287884235382,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,28,5.8,-0.279102474451065,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,29,6,-0.289223790168762,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,30,6.2,-0.299345105886459,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,31,6.4,-0.309159696102142,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,32,6.6,-0.319281011819839,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,33,6.8,-0.329095602035522,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,34,7,-0.33921691775322,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,35,7.2,-0.349031507968903,-0.00079743645619601,0,0,0,0,-0.002284039,39
