Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.2,0.000307000009343028,0.0106120398268104,0,0,0,0,-0.002284039,39
0,1,0.4,-0.00981430895626545,0.0102439913898706,0,0,0,0,-0.002284039,39
0,2,0.6,-0.0196289122104645,0.0117161823436618,0,0,0,0,-0.002284039,39
0,3,0.8,-0.029750220477581,0.00913984887301922,0,0,0,0,-0.002284039,39
0,4,1,-0.0398715287446976,0.0108574042096734,0,0,0,0,-0.002284039,39
0,5,1.2,-0.0496861338615417,0.00926253106445074,0,0,0,0,-0.002284039,39
0,6,1.4,-0.0595007352530956,0.00975326169282198,0,0,0,0,-0.002284039,39
0,7,1.6,-0.0696220472455025,0.00834241230040789,0,0,0,0,-0.002284039,39
0,8,1.8,-0.079743355512619,0.00533669022843242,0,0,0,0,-0.002284039,39
0,9,2,-0.0895579606294632,0.00509132537990808,0,0,0,0,-0.002284039,39
0,10,2.2,-0.0996792688965797,0.00496864272281528,0,0,0,0,-0.002284039,39
0,11,2.4,-0.109493866562843,0.0047846189700067,0,0,0,0,-0.002284039,39
0,12,2.6,-0.11961518228054,0.00490730162709951,0,0,0,0,-0.002284039,39
0,13,2.8,-0.129736483097076,0.00527534913271666,0,0,0,0,-0.002284039,39
0,14,3,-0.139551088213921,0.00447791256010532,0,0,0,0,-0.002284039,39
0,15,3.2,-0.149672403931618,0.00392584130167961,0,0,0,0,-0.002284039,39
0,16,3.4,-0.159487009048462,0.00368047598749399,0,0,0,0,-0.002284039,39
0,17,3.6,-0.169608309864998,0.00368047598749399,0,0,0,0,-0.002284039,39
0,18,3.8,-0.179729625582695,0.00337376981042326,0,0,0,0,-0.002284039,39
0,19,4,-0.189544230699539,0.00318974582478404,0,0,0,0,-0.002284039,39
0,20,4.2,-0.199358820915222,0.00312840472906828,0,0,0,0,-0.002284039,39
0,21,4.4,-0.209480136632919,0.00306706340052187,0,0,0,0,-0.002284039,39
0,22,4.6,-0.219601452350616,0.00300572207197547,0,0,0,0,-0.002284039,39
0,23,4.8,-0.229722753167152,0.00294438097625971,0,0,0,0,-0.002284039,39
0,24,5,-0.239537358283997,0.00294438097625971,0,0,0,0,-0.002284039,39
0,25,5.2,-0.249658674001694,0.0028216983191669,0,0,0,0,-0.002284039,39
0,26,5.4,-0.259473264217377,0.00269901589490473,0,0,0,0,-0.002284039,39
0,27,5.6,-0.269594579935074,0.00263767456635833,0,0,0,0,-0.002284039,39
0,28,5.8,-0.279409170150757,0.00276035699062049,0,0,0,0,-0.002284039,39
0,29,6,-0.289530485868454,0.00177889678161591,0,0,0,0,-0.002284039,39
0,30,6.2,-0.299345105886459,0.00171755545306951,0,0,0,0,-0.002284039,39
0,31,6.4,-0.309466391801834,0.00165621424093843,0,0,0,0,-0.002284039,39
0,32,6.6,-0.319281011819839,0.00159487291239202,0,0,0,0,-0.002284039,39
0,33,6.8,-0.329402327537537,0.00153353170026094,0,0,0,0,-0.002284039,39
0,34,7,-0.339523613452911,0.00141084915958345,0,0,0,0,-0.002284039,39
0,35,7.2,-0.349338233470917,0.00134950794745237,0,0,0,0,-0.002284039,39
0,36,7.4,-0.359459549188614,0.00128816661890596,0,0,0,0,-0.002284039,39
0,37,7.6,-0.369580835103989,0.00110414286609739,0,0,0,0,-0.002284039,39
0,38,7.8,-0.379395455121994,0.000981460325419903,0,0,0,0,-0.002284039,39
0,39,8,-0.389516770839691,0.000920118996873498,0,0,0,0,-0.002284039,39
0,40,8.2,-0.399331361055374,0.000858777726534754,0,0,0,0,-0.002284039,39
0,41,8.4,-0.409452676773071,0.000674753973726183,0,0,0,0,-0.002284039,39
0,42,8.6,-0.419267266988754,0.000552071433048695,0,0,0,0,-0.002284039,39
0,43,8.8,-0.429388582706451,0.000552071433048695,0,0,0,0,-0.002284039,39
0,44,9,-0.439203172922134,0.000429388863267377,0,0,0,0,-0.002284039,39
0,45,9.2,-0.449324488639832,0.000490730162709951,0,0,0,0,-0.002284039,39
0,46,9.4,-0.459445804357529,0.000368047622032464,0,0,0,0,-0.002284039,39
0,47,9.6,-0.469260394573212,0.000184023811016232,0,0,0,0,-0.002284039,39
0,48,9.8,-0.479381710290909,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,49,10,-0.489503026008606,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
