Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0075,-0.00122653169091791,8.27494318400568E-07,0,0,0,0,-0.002284039,38
0,1,0.015,-0.00276006339117885,-2.0099080302316E-06,0,0,0,0,-0.002284039,38
0,3,0.03,-0.00582712702453136,-6.8058129727433E-06,0,0,0,0,-0.002284039,38
0,4,0.0375,-0.0070539521984756,-8.81351297721267E-06,0,0,0,0,-0.002284039,38
0,5,0.045,-0.0085874842479825,-1.04194268715219E-05,0,0,0,0,-0.002284039,38
0,6,0.0525,-0.00981430895626545,-1.13696032713051E-05,0,0,0,0,-0.002284039,38
0,7,0.06,-0.0116545474156737,-1.31270307974773E-05,0,0,0,0,-0.002284039,38
0,8,0.0675,-0.0131880789995193,-1.43998622661456E-05,0,0,0,0,-0.002284039,38
0,9,0.075,-0.0141081977635622,-1.55776142491959E-05,0,0,0,0,-0.002284039,38
0,10,0.0825,-0.0162551421672106,-1.6894611690077E-05,0,0,0,0,-0.002284039,38
0,11,0.09,-0.0171752609312534,-1.76221183210146E-05,0,0,0,0,-0.002284039,38
0,12,0.0975,-0.0196289122104645,-1.87698133231606E-05,0,0,0,0,-0.002284039,38
0,13,0.105,-0.0205490309745073,-2.0052455511177E-05,0,0,0,0,-0.002284039,38
0,14,0.1125,-0.0217758566141129,-2.0997109459131E-05,0,0,0,0,-0.002284039,38
0,15,0.12,-0.0236160941421986,-2.13038165384205E-05,0,0,0,0,-0.002284039,38
0,16,0.1275,-0.0251496266573668,-2.26962638407713E-05,0,0,0,0,-0.002284039,38
0,17,0.135,-0.0266831573098898,-2.36102478083922E-05,0,0,0,0,-0.002284039,38
0,18,0.1425,-0.028216689825058,-2.43831473198952E-05,0,0,0,0,-0.002284039,38
0,19,0.15,-0.029750220477581,-2.49474869633559E-05,0,0,0,0,-0.002284039,38
0,20,0.1575,-0.0312837548553944,-2.55424984061392E-05,0,0,0,0,-0.002284039,38
0,21,0.165,-0.0325105786323547,-2.67999948846409E-05,0,0,0,0,-0.002284039,38
