Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,-0.0361910536885262,-1.01825917226961E-05,0,0,0,0,-0.002284039,41
0,1,2,-0.0361910536885262,-2.63761580754363E-06,0,0,0,0,-0.002284039,41
0,2,3,-0.0358843468129635,1.39245266836951E-05,0,0,0,0,-0.002284039,41
0,3,4,-0.0361910536885262,5.52077290194575E-06,0,0,0,0,-0.002284039,41
0,4,5,-0.0361910536885262,-1.20841714306152E-05,0,0,0,0,-0.002284039,41
0,5,6,-0.0361910536885262,1.65627295700688E-06,0,0,0,0,-0.002284039,41
0,6,7,-0.0358843468129635,1.6071471691248E-05,0,0,0,0,-0.002284039,41
0,7,8,-0.0358843468129635,-1.34944912133506E-06,0,0,0,0,-0.002284039,41
0,8,9,-0.0358843468129635,-1.41084328788565E-05,0,0,0,0,-0.002284039,41
0,9,10,-0.0358843468129635,-3.06700462715526E-06,0,0,0,0,-0.002284039,41
0,10,11,-0.0355776399374008,1.28817246149993E-05,0,0,0,0,-0.002284039,41
0,11,12,-0.0358843468129635,1.34956667352526E-06,0,0,0,0,-0.002284039,41
0,12,13,-0.0355776399374008,-1.07346631921246E-05,0,0,0,0,-0.002284039,41
0,13,14,-0.0355776399374008,6.19552702119108E-06,0,0,0,0,-0.002284039,41
0,14,15,-0.0355776399374008,1.7175614630105E-05,0,0,0,0,-0.002284039,41
0,15,16,-0.0355776399374008,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,16,17,-0.0355776399374008,-1.0366615242674E-05,0,0,0,0,-0.002284039,41
0,17,18,-0.0355776399374008,6.25686789135216E-06,0,0,0,0,-0.002284039,41
0,18,19,-0.0352709367871284,1.33724552142667E-05,0,0,0,0,-0.002284039,41
0,19,20,-0.0355776399374008,-3.61907609658374E-06,0,0,0,0,-0.002284039,41
0,20,21,-0.0355776399374008,-1.35563614094281E-05,0,0,0,0,-0.002284039,41
0,21,22,-0.0352709367871284,6.31820921626058E-06,0,0,0,0,-0.002284039,41
0,22,23,-0.0352709367871284,9.2012487584725E-06,0,0,0,0,-0.002284039,41
0,23,24,-0.0355776399374008,-1.40470920086955E-05,0,0,0,0,-0.002284039,41
