Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.15,0.000307000009343028,0.00428346125409007,0,0,0,0,-0.002284039,39
0,1,0.3,-0.014721610583365,0.00371850817464292,0,0,0,0,-0.002284039,39
0,2,0.45,-0.029750220477581,0.00319342711009085,0,0,0,0,-0.002284039,39
0,3,0.6,-0.0447788313031197,0.0026855212636292,0,0,0,0,-0.002284039,39
0,4,0.75,-0.0598074421286583,0.00218620337545872,0,0,0,0,-0.002284039,39
0,5,0.9,-0.0748360529541969,0.0016967001138255,0,0,0,0,-0.002284039,39
0,6,1.05,-0.0898646637797356,0.00121645873878151,0,0,0,0,-0.002284039,39
0,7,1.2,-0.104893274605274,0.000728550308849663,0,0,0,0,-0.002284039,39
0,8,1.35,-0.120228588581085,0.000201009213924408,0,0,0,0,-0.002284039,39
0,9,1.5,-0.134950488805771,-0.000162247597472742,0,0,0,0,-0.002284039,39
0,10,1.65,-0.149672403931618,-0.000682421552482992,0,0,0,0,-0.002284039,39
0,11,1.8,-0.164701014757156,-0.00115358387120068,0,0,0,0,-0.002284039,39
0,12,1.95,-0.179729625582695,-0.001642657793127,0,0,0,0,-0.002284039,39
0,13,2.1,-0.195371642708778,-0.00209664390422404,0,0,0,0,-0.002284039,39
0,14,2.25,-0.209786847233772,-0.00258798757568002,0,0,0,0,-0.002284039,39
0,15,2.4,-0.224815458059311,-0.00305540789850056,0,0,0,0,-0.002284039,39
0,16,2.55,-0.23984406888485,-0.00353018939495087,0,0,0,0,-0.002284039,39
0,17,2.7,-0.254872679710388,-0.00400435738265514,0,0,0,0,-0.002284039,39
0,18,2.85,-0.269901275634766,-0.00448281923308969,0,0,0,0,-0.002284039,39
0,19,3,-0.284929901361465,-0.00496189435943961,0,0,0,0,-0.002284039,39
0,20,3.15,-0.300265222787857,-0.00544096995145082,0,0,0,0,-0.002284039,39
0,21,3.3,-0.314987123012543,-0.00592740625143051,0,0,0,0,-0.002284039,39
0,22,3.45,-0.330322444438934,-0.00641506910324097,0,0,0,0,-0.002284039,39
0,23,3.6,-0.345351040363312,-0.00690641300752759,0,0,0,0,-0.002284039,39
0,24,3.75,-0.360379666090012,-0.00739836972206831,0,0,0,0,-0.002284039,39
0,25,3.9,-0.375408262014389,-0.00789216719567776,0,0,0,0,-0.002284039,39
0,26,4.05,-0.390436887741089,-0.00838964432477951,0,0,0,0,-0.002284039,39
0,27,4.2,-0.405465483665466,-0.00889018923044205,0,0,0,0,-0.002284039,39
0,28,4.35,-0.420494109392166,-0.00938950758427382,0,0,0,0,-0.002284039,39
0,29,4.5,-0.435522705316544,-0.009894959628582,0,0,0,0,-0.002284039,39
0,30,4.65,-0.450551331043243,-0.0104040922597051,0,0,0,0,-0.002284039,39
