Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0105,-0.00245335698127747,0.00418715551495552,0,0,0,0,-0.002284039,38
0,1,0.021,-0.00429359497502446,0.00381236034445465,0,0,0,0,-0.002284039,38
0,2,0.0315,-0.00674724578857422,0.00350994803011417,0,0,0,0,-0.002284039,38
0,3,0.042,-0.0085874842479825,0.00327746453694999,0,0,0,0,-0.002284039,38
0,4,0.0525,-0.0107344286516309,0.00307626510038972,0,0,0,0,-0.002284039,38
0,5,0.063,-0.0128813730552793,0.00290819001384079,0,0,0,0,-0.002284039,38
0,6,0.0735,-0.0144149046391249,0.00276403804309666,0,0,0,0,-0.002284039,38
0,7,0.084,-0.0171752609312534,0.00263522146269679,0,0,0,0,-0.002284039,38
0,8,0.0945,-0.0193222053349018,0.00252358033321798,0,0,0,0,-0.002284039,38
0,9,0.105,-0.0211624447256327,0.00242298073135316,0,0,0,0,-0.002284039,38
0,10,0.1155,-0.0230026822537184,0.00233096885494888,0,0,0,0,-0.002284039,38
0,11,0.126,-0.0254563316702843,0.00225490564480424,0,0,0,0,-0.002284039,38
0,12,0.1365,-0.0272965710610151,0.00217148149386048,0,0,0,0,-0.002284039,38
0,13,0.147,-0.0294435154646635,0.00209664506837726,0,0,0,0,-0.002284039,38
0,14,0.1575,-0.0315904580056667,0.0020383708178997,0,0,0,0,-0.002284039,38
0,15,0.168,-0.0331239923834801,0.00198071007616818,0,0,0,0,-0.002284039,38
0,16,0.1785,-0.0355776399374008,0.00192120915744454,0,0,0,0,-0.002284039,38
0,17,0.189,-0.0380312912166119,0.00187213614117354,0,0,0,0,-0.002284039,38
0,18,0.1995,-0.0398715287446976,0.00182122283149511,0,0,0,0,-0.002284039,38
0,19,0.21,-0.0417117699980736,0.00177705707028508,0,0,0,0,-0.002284039,38
0,20,0.2205,-0.043858714401722,0.00173105113208294,0,0,0,0,-0.002284039,38
0,21,0.231,-0.0456989519298077,0.00168995256535709,0,0,0,0,-0.002284039,38
0,22,0.2415,-0.047845896333456,0.00165560143068433,0,0,0,0,-0.002284039,38
0,23,0.252,-0.0502995476126671,0.0016163430409506,0,0,0,0,-0.002284039,38
0,24,0.2625,-0.0524464920163155,0.00157892482820898,0,0,0,0,-0.002284039,38
0,25,0.273,-0.0545934364199638,0.00154580059461296,0,0,0,0,-0.002284039,38
0,26,0.2835,-0.0567403808236122,0.00150838238187134,0,0,0,0,-0.002284039,38
0,27,0.294,-0.0585806183516979,0.00148077879566699,0,0,0,0,-0.002284039,38
0,28,0.3045,-0.0607275627553463,0.0014507215237245,0,0,0,0,-0.002284039,38
0,29,0.315,-0.0628745034337044,0.00141821068245918,0,0,0,0,-0.002284039,38
0,30,0.3255,-0.0644080340862274,0.00139551446773112,0,0,0,0,-0.002284039,38
