Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0065,-0.00122653169091791,0.00117775297258049,0,0,0,0,-0.002284039,38
0,2,0.0195,-0.00337347597815096,0.00108298019040376,0,0,0,0,-0.002284039,38
0,3,0.026,-0.00490700779482722,0.00104034796822816,0,0,0,0,-0.002284039,38
0,4,0.0325,-0.00674724578857422,0.00100740767084062,0,0,0,0,-0.002284039,38
0,5,0.039,-0.0070539521984756,0.000979804084636271,0,0,0,0,-0.002284039,38
0,6,0.0455,-0.0088941901922226,0.000951587164308876,0,0,0,0,-0.002284039,38
0,7,0.052,-0.0101210158318281,0.000930056383367628,0,0,0,0,-0.002284039,38
0,8,0.0585,-0.0113478405401111,0.000905765220522881,0,0,0,0,-0.002284039,38
0,9,0.065,-0.0125746661797166,0.000884602486621588,0,0,0,0,-0.002284039,38
0,10,0.0715,-0.0141081977635622,0.000869757903274149,0,0,0,0,-0.002284039,38
0,11,0.078,-0.0150283174589276,0.000849637959618121,0,0,0,0,-0.002284039,38
0,12,0.0845,-0.0165618490427732,0.000836142862681299,0,0,0,0,-0.002284039,38
0,13,0.091,-0.0177886746823788,0.00081780186155811,0,0,0,0,-0.002284039,38
0,14,0.0975,-0.0187087934464216,0.000801485090050846,0,0,0,0,-0.002284039,38
0,15,0.104,-0.0205490309745073,0.000790014222729951,0,0,0,0,-0.002284039,38
0,16,0.1105,-0.0214691497385502,0.000772961357142776,0,0,0,0,-0.002284039,38
0,17,0.117,-0.0230026822537184,0.000761797244194895,0,0,0,0,-0.002284039,38
0,18,0.1235,-0.0245362129062414,0.000750510487705469,0,0,0,0,-0.002284039,38
0,19,0.13,-0.0254563316702843,0.000736401998437941,0,0,0,0,-0.002284039,38
0,20,0.1365,-0.0269898641854525,0.00072664872277528,0,0,0,0,-0.002284039,38
0,21,0.143,-0.0279099829494953,0.000714564463123679,0,0,0,0,-0.002284039,38
0,22,0.1495,-0.0294435154646635,0.000704443198628724,0,0,0,0,-0.002284039,38
0,23,0.156,-0.030670341104269,0.000692972389515489,0,0,0,0,-0.002284039,38
0,24,0.1625,-0.0322038717567921,0.000682605663314462,0,0,0,0,-0.002284039,38
0,25,0.169,-0.0331239923834801,0.000673220492899418,0,0,0,0,-0.002284039,38
0,27,0.182,-0.0361910536885262,0.000653897994197905,0,0,0,0,-0.002284039,38
