Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.3,0.000307000009343028,-1.28264537124778E-05,0,0,0,0,-0.002284039,39
0,1,0.6,-0.0150283174589276,-5.56733311896096E-06,0,0,0,0,-0.002284039,39
0,2,0.9,-0.029750220477581,-5.48022808288806E-06,0,0,0,0,-0.002284039,39
0,3,1.2,-0.0447788313031197,-7.96148287918186E-06,0,0,0,0,-0.002284039,39
0,4,1.5,-0.0595007352530956,-6.82973632137873E-06,0,0,0,0,-0.002284039,39
0,5,1.8,-0.0745293498039246,-7.24931032891618E-06,0,0,0,0,-0.002284039,39
0,6,2.1,-0.0895579606294632,-7.69648795539979E-06,0,0,0,0,-0.002284039,39
0,7,2.4,-0.104586571455002,-9.55390169110615E-06,0,0,0,0,-0.002284039,39
0,8,2.7,-0.119921885430813,2.04267007575254E-06,0,0,0,0,-0.002284039,39
0,9,3,-0.134950488805771,-2.98486543215404E-06,0,0,0,0,-0.002284039,39
0,10,3.3,-0.149672403931618,-1.01341902336571E-05,0,0,0,0,-0.002284039,39
0,11,3.6,-0.164394304156303,1.75436616700608E-06,0,0,0,0,-0.002284039,39
0,12,3.9,-0.180036321282387,-1.74417764355894E-05,0,0,0,0,-0.002284039,39
0,13,4.2,-0.194451525807381,-1.17321305879159E-05,0,0,0,0,-0.002284039,39
0,14,4.5,-0.209480136632919,-1.60100125867757E-06,0,0,0,0,-0.002284039,39
0,15,4.8,-0.224815458059311,-1.5335930584115E-05,0,0,0,0,-0.002284039,39
0,16,5.1,-0.240150764584541,-2.03836971195415E-05,0,0,0,0,-0.002284039,39
0,17,5.4,-0.254565954208374,-8.07863943919074E-06,0,0,0,0,-0.002284039,39
0,18,5.7,-0.269594579935074,-1.13837122626137E-05,0,0,0,0,-0.002284039,39
0,19,6,-0.284009784460068,3.8706398299837E-06,0,0,0,0,-0.002284039,39
