Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0144,-0.896502315998077,-0.0127283129841089,0,0,0,0,-0.002284039,14
0,1,0.0288,-0.897422432899475,-0.0105611253529787,0,0,0,0,-0.002284039,14
0,2,0.0432,-0.896809041500092,-0.00905642379075289,0,0,0,0,-0.002284039,14
0,3,0.0576,-0.896195650100708,-0.00787683203816414,0,0,0,0,-0.002284039,14
0,4,0.072,-0.894968807697296,-0.00700210500508547,0,0,0,0,-0.002284039,14
0,5,0.0864,-0.894662082195282,-0.00631876336410642,0,0,0,0,-0.002284039,14
0,6,0.1008,-0.893741965293884,-0.00577650684863329,0,0,0,0,-0.002284039,14
0,7,0.1152,-0.893741965293884,-0.00532932858914137,0,0,0,0,-0.002284039,14
0,8,0.1296,-0.892515182495117,-0.0049526933580637,0,0,0,0,-0.002284039,14
0,9,0.144,-0.892208456993103,-0.00463617267087102,0,0,0,0,-0.002284039,14
0,10,0.1584,-0.891288340091705,-0.00436320388689637,0,0,0,0,-0.002284039,14
0,11,0.1728,-0.890981614589691,-0.00412519974634051,0,0,0,0,-0.002284039,14
0,12,0.1872,-0.890061497688293,-0.00391786638647318,0,0,0,0,-0.002284039,14
0,13,0.2016,-0.88944810628891,-0.00373690947890282,0,0,0,0,-0.002284039,14
0,14,0.216,-0.888527989387512,-0.00357067468576133,0,0,0,0,-0.002284039,14
0,15,0.2304,-0.8873011469841,-0.00342222885228693,0,0,0,0,-0.002284039,14
0,16,0.2448,-0.886994421482086,-0.00328482431359589,0,0,0,0,-0.002284039,14
0,17,0.2592,-0.886381030082703,-0.00316582224331796,0,0,0,0,-0.002284039,14
0,18,0.2736,-0.885767638683319,-0.00305295432917774,0,0,0,0,-0.002284039,14
0,19,0.288,-0.885460913181305,-0.00295296800322831,0,0,0,0,-0.002284039,14
0,20,0.3024,-0.884540796279907,-0.0028664767742157,0,0,0,0,-0.002284039,14
0,21,0.3168,-0.88362067937851,-0.00277814548462629,0,0,0,0,-0.002284039,14
0,22,0.3312,-0.883007287979126,-0.00269349454902112,0,0,0,0,-0.002284039,14
0,23,0.3456,-0.881780445575714,-0.00262049841694534,0,0,0,0,-0.002284039,14
0,24,0.36,-0.8814737200737,-0.00255363644100726,0,0,0,0,-0.002284039,14
0,25,0.3744,-0.880553603172302,-0.00248861475847662,0,0,0,0,-0.002284039,14
0,26,0.3888,-0.879940211772919,-0.00242972699925303,0,0,0,0,-0.002284039,14
0,27,0.4032,-0.879633486270905,-0.0023708394728601,0,0,0,0,-0.002284039,14
0,28,0.4176,-0.878713369369507,-0.00231931265443563,0,0,0,0,-0.002284039,14
0,29,0.432,-0.877486526966095,-0.00226778606884182,0,0,0,0,-0.002284039,14
0,30,0.4464,-0.877179861068726,-0.00221809977665544,0,0,0,0,-0.002284039,14
0,31,0.4608,-0.876566410064697,-0.00216964003629982,0,0,0,0,-0.002284039,14
0,32,0.4752,-0.8756462931633,-0.00212792796082795,0,0,0,0,-0.002284039,14
0,33,0.4896,-0.874726176261902,-0.00208744267001748,0,0,0,0,-0.002284039,14
0,34,0.504,-0.874112784862518,-0.00205125147476792,0,0,0,0,-0.002284039,14
0,35,0.5184,-0.873806059360504,-0.00201076618395746,0,0,0,0,-0.002284039,14
0,36,0.5328,-0.872885942459106,-0.00197273469530046,0,0,0,0,-0.002284039,14
0,37,0.5472,-0.872272551059723,-0.00193715665955096,0,0,0,0,-0.002284039,14
0,38,0.5616,-0.871352434158325,-0.00190587260294706,0,0,0,0,-0.002284039,14
0,39,0.576,-0.870738983154297,-0.0018715214682743,0,0,0,0,-0.002284039,14
0,40,0.5904,-0.869818866252899,-0.00184146431274712,0,0,0,0,-0.002284039,14
0,41,0.6048,-0.86951220035553,-0.00181140704080462,0,0,0,0,-0.002284039,14
0,42,0.6192,-0.868285357952118,-0.00178564374800771,0,0,0,0,-0.002284039,14
0,44,0.648,-0.867671966552734,-0.00173166336026043,0,0,0,0,-0.002284039,14
0,45,0.6624,-0.866138398647308,-0.00170344638172537,0,0,0,0,-0.002284039,14
0,46,0.6768,-0.865525007247925,-0.00167706969659776,0,0,0,0,-0.002284039,14
0,47,0.6912,-0.864604890346527,-0.00165253318846226,0,0,0,0,-0.002284039,14
0,48,0.7056,-0.864298164844513,-0.00162983685731888,0,0,0,0,-0.002284039,14
0,49,0.72,-0.863684773445129,-0.00160591385792941,0,0,0,0,-0.002284039,14
0,50,0.7344,-0.863071322441101,-0.00158321752678603,0,0,0,0,-0.002284039,14
0,51,0.7488,-0.861844539642334,-0.00156174809671938,0,0,0,0,-0.002284039,14
0,52,0.7632,-0.861231088638306,-0.00153905188199133,0,0,0,0,-0.002284039,14
0,53,0.7776,-0.860924422740936,-0.00151880923658609,0,0,0,0,-0.002284039,14
