Segment,Point,"Elapsed Time (s)","Potential (V)","Current (A)","Frequency (Hz)","|Z| (ohms)","Zre (ohms)","Zim (ohms)","Phase of Z (deg)",ActionId
1,2000,28.8144,-0.899262666702271,-0.000852704921271652,0,0,0,0,-0.002284039,14
1,2001,28.8288,-0.898342549800873,-0.000837246887385845,0,0,0,0,-0.002284039,14
1,2002,28.8432,-0.897729158401489,-0.000826818868517876,0,0,0,0,-0.002284039,14
1,2003,28.8576,-0.896809041500092,-0.000815470761153847,0,0,0,0,-0.002284039,14
1,2004,28.872,-0.895888924598694,-0.000805594841949642,0,0,0,0,-0.002284039,14
1,2005,28.8864,-0.894968807697296,-0.000795902917161584,0,0,0,0,-0.002284039,14
1,2006,28.9008,-0.894355416297913,-0.000786026939749718,0,0,0,0,-0.002284039,14
1,2007,28.9152,-0.894355416297913,-0.000776764412876219,0,0,0,0,-0.002284039,14
1,2008,28.9296,-0.892821848392487,-0.000766704441048205,0,0,0,0,-0.002284039,14
1,2009,28.944,-0.892208456993103,-0.00075799401383847,0,0,0,0,-0.002284039,14
1,2010,28.9584,-0.891595065593719,-0.000749528873711824,0,0,0,0,-0.002284039,14
1,2011,28.9728,-0.890981614589691,-0.000744437566027045,0,0,0,0,-0.002284039,14
1,2012,28.9872,-0.890061497688293,-0.000735972484108061,0,0,0,0,-0.002284039,14
1,2013,29.0016,-0.88944810628891,-0.000727507402189076,0,0,0,0,-0.002284039,14
1,2014,29.016,-0.888527989387512,-0.000721925345715135,0,0,0,0,-0.002284039,14
1,2015,29.0304,-0.887914538383484,-0.000714564346708357,0,0,0,0,-0.002284039,14
1,2016,29.0448,-0.887607872486115,-0.000705485872458667,0,0,0,0,-0.002284039,14
1,2017,29.0592,-0.886994421482086,-0.000698922376614064,0,0,0,0,-0.002284039,14
1,2018,29.0736,-0.885767638683319,-0.000693156267516315,0,0,0,0,-0.002284039,14
1,2019,29.088,-0.885154187679291,-0.000686163373757154,0,0,0,0,-0.002284039,14
1,2020,29.1024,-0.884234070777893,-0.000680213270243257,0,0,0,0,-0.002284039,14
1,2021,29.1168,-0.883927404880524,-0.000676471448969096,0,0,0,0,-0.002284039,14
1,2022,29.1312,-0.883007287979126,-0.000668006367050111,0,0,0,0,-0.002284039,14
1,2023,29.1456,-0.882393836975098,-0.000660645426250994,0,0,0,0,-0.002284039,14
