Segment,Point,"Elapsed Time (s)","Potential (V)","Current (A)","Frequency (Hz)","|Z| (ohms)","Zre (ohms)","Zim (ohms)","Phase of Z (deg)",ActionId
2,4000,57.6072,-0.898649275302887,-0.000833811820484698,0,0,0,0,-0.002284039,14
2,4001,57.6144,-0.898342549800873,-0.000817495048977435,0,0,0,0,-0.002284039,14
2,4002,57.6216,-0.897422432899475,-0.00080810982035473,0,0,0,0,-0.002284039,14
2,4003,57.6288,-0.896195650100708,-0.000795473519247025,0,0,0,0,-0.002284039,14
2,4004,57.636,-0.896502315998077,-0.000784186704549938,0,0,0,0,-0.002284039,14
2,4005,57.6432,-0.89527553319931,-0.000775476277340204,0,0,0,0,-0.002284039,14
2,4006,57.6504,-0.894662082195282,-0.000767317891586572,0,0,0,0,-0.002284039,14
2,4007,57.6576,-0.893741965293884,-0.000755417684558779,0,0,0,0,-0.002284039,14
2,4008,57.6648,-0.893128573894501,-0.000745173660106957,0,0,0,0,-0.002284039,14
2,4009,57.672,-0.892821848392487,-0.00073689257260412,0,0,0,0,-0.002284039,14
2,4010,57.6792,-0.891288340091705,-0.000728856888599694,0,0,0,0,-0.002284039,14
2,4011,57.6864,-0.890981614589691,-0.000721618591342121,0,0,0,0,-0.002284039,14
2,4012,57.6936,-0.890368223190308,-0.000716588634531945,0,0,0,0,-0.002284039,14
2,4013,57.7008,-0.88944810628891,-0.000708368897903711,0,0,0,0,-0.002284039,14
2,4014,57.708,-0.888834655284882,-0.000699045020155609,0,0,0,0,-0.002284039,14
2,4015,57.7152,-0.887914538383484,-0.000691990775521845,0,0,0,0,-0.002284039,14
2,4016,57.7224,-0.8873011469841,-0.00068328034831211,0,0,0,0,-0.002284039,14
2,4017,57.7296,-0.886687755584717,-0.000678373035043478,0,0,0,0,-0.002284039,14
2,4018,57.7368,-0.885767638683319,-0.000671870831865817,0,0,0,0,-0.002284039,14
2,4019,57.744,-0.885460913181305,-0.00066426454577595,0,0,0,0,-0.002284039,14
2,4020,57.7512,-0.884540796279907,-0.00065892783459276,0,0,0,0,-0.002284039,14
2,4021,57.7584,-0.884234070777893,-0.000650033354759216,0,0,0,0,-0.002284039,14
2,4022,57.7656,-0.883007287979126,-0.000644819345325232,0,0,0,0,-0.002284039,14
2,4023,57.7728,-0.882087111473084,-0.000641016173176467,0,0,0,0,-0.002284039,14
