Segment,Point,"Elapsed Time (s)","Potential (V)","Current (A)","Frequency (Hz)","|Z| (ohms)","Zre (ohms)","Zim (ohms)","Phase of Z (deg)",ActionId
3,6000,72.0036,-0.898342549800873,-0.00105108262505382,0,0,0,0,-0.002284039,14
3,6001,72.0072,-0.898035883903503,-0.0010310240322724,0,0,0,0,-0.002284039,14
3,6002,72.0108,-0.897422432899475,-0.00101065868511796,0,0,0,0,-0.002284039,14
3,6003,72.0144,-0.896809041500092,-0.000994096510112286,0,0,0,0,-0.002284039,14
3,6004,72.018,-0.895888924598694,-0.00098004937171936,0,0,0,0,-0.002284039,14
3,6005,72.0216,-0.89558219909668,-0.000967903819400817,0,0,0,0,-0.002284039,14
3,6006,72.0252,-0.894662082195282,-0.00095661700470373,0,0,0,0,-0.002284039,14
3,6007,72.0288,-0.893741965293884,-0.000943244609516114,0,0,0,0,-0.002284039,14
3,6008,72.0324,-0.892515182495117,-0.000928400026168674,0,0,0,0,-0.002284039,14
3,6009,72.036,-0.892208456993103,-0.000923492712900043,0,0,0,0,-0.002284039,14
3,6010,72.0396,-0.891901731491089,-0.000913248746655881,0,0,0,0,-0.002284039,14
3,6011,72.0432,-0.891288340091705,-0.000899140257388353,0,0,0,0,-0.002284039,14
3,6012,72.0468,-0.890368223190308,-0.000889264279976487,0,0,0,0,-0.002284039,14
3,6013,72.0504,-0.88944810628891,-0.000878713617566973,0,0,0,0,-0.002284039,14
3,6014,72.054,-0.888834655284882,-0.000868714996613562,0,0,0,0,-0.002284039,14
3,6015,72.0576,-0.888221263885498,-0.000858164275996387,0,0,0,0,-0.002284039,14
3,6016,72.0612,-0.886994421482086,-0.000848901749122888,0,0,0,0,-0.002284039,14
3,6017,72.0648,-0.886687755584717,-0.000838841777294874,0,0,0,0,-0.002284039,14
3,6018,72.0684,-0.885767638683319,-0.000830806093290448,0,0,0,0,-0.002284039,14
3,6019,72.072,-0.884847521781921,-0.000822279660496861,0,0,0,0,-0.002284039,14
3,6020,72.0756,-0.884540796279907,-0.000813998572994024,0,0,0,0,-0.002284039,14
3,6021,72.0792,-0.88362067937851,-0.000806269585154951,0,0,0,0,-0.002284039,14
3,6022,72.0828,-0.883007287979126,-0.000799031287897378,0,0,0,0,-0.002284039,14
3,6023,72.0864,-0.882087111473084,-0.00078884867252782,0,0,0,0,-0.002284039,14
3,6024,72.09,-0.8814737200737,-0.000780812930315733,0,0,0,0,-0.002284039,14
3,6025,72.0936,-0.880246877670288,-0.000771305058151484,0,0,0,0,-0.002284039,14
3,6026,72.0972,-0.879940211772919,-0.000762226525694132,0,0,0,0,-0.002284039,14
3,6027,72.1008,-0.879633486270905,-0.000755663029849529,0,0,0,0,-0.002284039,14
3,6028,72.1044,-0.878406643867493,-0.000746829900890589,0,0,0,0,-0.002284039,14
3,6029,72.108,-0.878099977970123,-0.000739959650672972,0,0,0,0,-0.002284039,14
3,6030,72.1116,-0.877179861068726,-0.000732353364583105,0,0,0,0,-0.002284039,14
3,6031,72.1152,-0.876873135566711,-0.000726035214029253,0,0,0,0,-0.002284039,14
3,6032,72.1188,-0.875953018665314,-0.000717079383321106,0,0,0,0,-0.002284039,14
3,6033,72.1224,-0.874726176261902,-0.000711067928932607,0,0,0,0,-0.002284039,14
3,6034,72.126,-0.874419510364532,-0.000703093537595123,0,0,0,0,-0.002284039,14
3,6035,72.1296,-0.873806059360504,-0.000695057853590697,0,0,0,0,-0.002284039,14
3,6036,72.1332,-0.873192667961121,-0.000688126310706139,0,0,0,0,-0.002284039,14
3,6037,72.1368,-0.872579216957092,-0.000683096295688301,0,0,0,0,-0.002284039,14
3,6038,72.1404,-0.871045708656311,-0.000675735354889184,0,0,0,0,-0.002284039,14
3,6039,72.144,-0.870738983154297,-0.000667883665300906,0,0,0,0,-0.002284039,14
3,6040,72.1476,-0.869818866252899,-0.00066101347329095,0,0,0,0,-0.002284039,14
3,6041,72.1512,-0.86951220035553,-0.000655124662443995,0,0,0,0,-0.002284039,14
3,6042,72.1548,-0.868592083454132,-0.000647702370770276,0,0,0,0,-0.002284039,14
3,6043,72.1584,-0.867671966552734,-0.000641200225800276,0,0,0,0,-0.002284039,14
3,6044,72.162,-0.867671966552734,-0.000635618169326335,0,0,0,0,-0.002284039,14
3,6045,72.1656,-0.866751849651337,-0.000626171589829028,0,0,0,0,-0.002284039,14
3,6046,72.1692,-0.865831732749939,-0.000625742191914469,0,0,0,0,-0.002284039,14
3,6047,72.1728,-0.864911556243896,-0.000614700780715793,0,0,0,0,-0.002284039,14
3,6048,72.1764,-0.864298164844513,-0.000610529561527073,0,0,0,0,-0.002284039,14
3,6049,72.18,-0.863684773445129,-0.000603904714807868,0,0,0,0,-0.002284039,14
3,6050,72.1836,-0.862764656543732,-0.000596850470174104,0,0,0,0,-0.002284039,14
3,6051,72.1872,-0.862457931041718,-0.000591268413700163,0,0,0,0,-0.002284039,14
3,6052,72.1908,-0.861844539642334,-0.00058445951435715,0,0,0,0,-0.002284039,14
3,6053,72.1944,-0.860617697238922,-0.000579490908421576,0,0,0,0,-0.002284039,14
3,6054,72.198,-0.859697580337524,-0.000571884564124048,0,0,0,0,-0.002284039,14
3,6055,72.2016,-0.85939085483551,-0.000567836046684533,0,0,0,0,-0.002284039,14
3,6056,72.2052,-0.858470737934113,-0.000563971581868827,0,0,0,0,-0.002284039,14
3,6057,72.2088,-0.857857346534729,-0.000557162682525814,0,0,0,0,-0.002284039,14
3,6058,72.2124,-0.857243955135345,-0.000550047087017447,0,0,0,0,-0.002284039,14
3,6059,72.216,-0.856323778629303,-0.000545569171663374,0,0,0,0,-0.002284039,14
3,6060,72.2196,-0.855403661727905,-0.000541827350389212,0,0,0,0,-0.002284039,14
3,6061,72.2232,-0.855096995830536,-0.00053550919983536,0,0,0,0,-0.002284039,14
3,6062,72.2268,-0.854176878929138,-0.000532748876139522,0,0,0,0,-0.002284039,14
3,6063,72.2304,-0.85356342792511,-0.000527780211996287,0,0,0,0,-0.002284039,14
3,6064,72.234,-0.852950036525726,-0.000520541914738715,0,0,0,0,-0.002284039,14
3,6065,72.2376,-0.852336645126343,-0.000516186701133847,0,0,0,0,-0.002284039,14
3,6066,72.2412,-0.851416528224945,-0.000511218095198274,0,0,0,0,-0.002284039,14
3,6067,72.2448,-0.850803077220917,-0.000504715892020613,0,0,0,0,-0.002284039,14
3,6068,72.2484,-0.849882960319519,-0.000500912719871849,0,0,0,0,-0.002284039,14
3,6069,72.252,-0.84957629442215,-0.000492999737616628,0,0,0,0,-0.002284039,14
3,6070,72.2556,-0.848656177520752,-0.000488951161969453,0,0,0,0,-0.002284039,14
3,6071,72.2592,-0.848042726516724,-0.0004853933933191,0,0,0,0,-0.002284039,14
3,6072,72.2628,-0.846815884113312,-0.000478829868370667,0,0,0,0,-0.002284039,14
3,6073,72.2664,-0.846202492713928,-0.000472205021651462,0,0,0,0,-0.002284039,14
3,6074,72.27,-0.845589101314545,-0.000469628692371771,0,0,0,0,-0.002284039,14
3,6075,72.2736,-0.844975650310516,-0.000463371892692521,0,0,0,0,-0.002284039,14
3,6076,72.2772,-0.844668984413147,-0.000458893977338448,0,0,0,0,-0.002284039,14
3,6077,72.2808,-0.843135416507721,-0.000453618617029861,0,0,0,0,-0.002284039,14
3,6078,72.2844,-0.842828750610352,-0.00044687106856145,0,0,0,0,-0.002284039,14
3,6079,72.288,-0.842522025108337,-0.000441657059127465,0,0,0,0,-0.002284039,14
3,6080,72.2916,-0.84160190820694,-0.000439939525676891,0,0,0,0,-0.002284039,14
3,6081,72.2952,-0.840988516807556,-0.000431842461694032,0,0,0,0,-0.002284039,14
3,6082,72.2988,-0.839761674404144,-0.00042576968553476,0,0,0,0,-0.002284039,14
3,6083,72.3024,-0.83945494890213,-0.000422763958340511,0,0,0,0,-0.002284039,14
3,6084,72.306,-0.838534832000732,-0.000420003605540842,0,0,0,0,-0.002284039,14
3,6085,72.3096,-0.837921440601349,-0.000414666923461482,0,0,0,0,-0.002284039,14
3,6086,72.3132,-0.837307989597321,-0.00040834877290763,0,0,0,0,-0.002284039,14
3,6087,72.3168,-0.836387872695923,-0.000403134763473645,0,0,0,0,-0.002284039,14
3,6088,72.3204,-0.836081206798553,-0.0003990862169303,0,0,0,0,-0.002284039,14
3,6089,72.324,-0.834547638893127,-0.000394485628930852,0,0,0,0,-0.002284039,14
3,6090,72.3276,-0.834240972995758,-0.000389394321246073,0,0,0,0,-0.002284039,14
3,6091,72.3312,-0.83332085609436,-0.000385223102057353,0,0,0,0,-0.002284039,14
3,6092,72.3348,-0.832707405090332,-0.000381603982532397,0,0,0,0,-0.002284039,14
3,6093,72.3384,-0.832400739192963,-0.000378046184778214,0,0,0,0,-0.002284039,14
3,6094,72.342,-0.831173896789551,-0.000372770824469626,0,0,0,0,-0.002284039,14
3,6095,72.3456,-0.830560445785522,-0.000367679487681016,0,0,0,0,-0.002284039,14
3,6096,72.3492,-0.829640328884125,-0.000364367064321414,0,0,0,0,-0.002284039,14
3,6097,72.3528,-0.829026937484741,-0.000357619544956833,0,0,0,0,-0.002284039,14
3,6098,72.3564,-0.828413546085358,-0.000353816372808069,0,0,0,0,-0.002284039,14
3,6099,72.36,-0.827800095081329,-0.000350319925928488,0,0,0,0,-0.002284039,14
3,6100,72.3636,-0.826573312282562,-0.000343756400980055,0,0,0,0,-0.002284039,14
3,6101,72.3672,-0.826266586780548,-0.000338787765940651,0,0,0,0,-0.002284039,14
3,6102,72.3708,-0.825653195381165,-0.000338849116815254,0,0,0,0,-0.002284039,14
