Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.3,-0.000306412694044411,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,0.6,-0.0156417302787304,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,2,0.9,-0.030670341104269,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,3,1.2,-0.0456989519298077,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,4,1.5,-0.0607275627553463,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,5,1.8,-0.0757561698555946,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,6,2.1,-0.0907847806811333,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,7,2.4,-0.105813391506672,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,8,2.7,-0.120842002332211,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,9,3,-0.13587062060833,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,10,3.3,-0.150899231433868,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,11,3.6,-0.165927842259407,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,12,3.9,-0.180956453084946,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,13,4.2,-0.195985063910484,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,14,4.5,-0.211013674736023,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,15,4.8,-0.226042285561562,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,16,5.1,-0.2410708963871,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,17,5.4,-0.256099492311478,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,18,5.7,-0.271128118038177,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,19,6,-0.285850018262863,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,20,6.3,-0.301185339689255,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,21,6.6,-0.316213935613632,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,22,6.9,-0.331242561340332,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,23,7.2,-0.346271157264709,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,24,7.5,-0.361299782991409,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,25,7.8,-0.376021683216095,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,26,8.1,-0.391050279140472,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,27,8.4,-0.406078904867172,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,28,8.7,-0.42110750079155,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,29,9,-0.43613612651825,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,30,9.3,-0.451471447944641,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,31,9.6,-0.466500043869019,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,32,9.9,-0.481528669595718,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,33,10.2,-0.496557265520096,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,34,10.5,-0.511585891246796,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,35,10.8,-0.526614487171173,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,36,11.1,-0.541336417198181,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,37,11.4,-0.556671738624573,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,38,11.7,-0.571393609046936,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,39,12,-0.586728930473328,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,40,12.3,-0.601757526397705,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,41,12.6,-0.616786181926727,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,42,12.9,-0.631814777851105,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,43,13.2,-0.646843373775482,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,44,13.5,-0.66187196969986,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,45,13.8,-0.677207291126251,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,46,14.1,-0.692235887050629,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,47,14.4,-0.70757120847702,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,48,14.7,-0.722599864006042,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,49,15,-0.737935185432434,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,50,15.3,-0.753270506858826,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,51,15.6,-0.76952588558197,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,52,15.9,-0.78578132390976,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,53,16.2,-0.803263604640961,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,54,16.5,-0.821052551269531,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,55,16.8,-0.837921440601349,-0.0028830396477133,0,0,0,0,-0.002284039,39
0,56,17.1,-0.853870153427124,-0.00300572207197547,0,0,0,0,-0.002284039,39
0,57,17.4,-0.86951220035553,-0.00318974582478404,0,0,0,0,-0.002284039,39
0,58,17.7,-0.885460913181305,-0.00337376981042326,0,0,0,0,-0.002284039,39
0,59,18,-0.901716351509094,-0.00361913489177823,0,0,0,0,-0.002284039,39
0,60,18.3,-0.918278515338898,-0.00392584130167961,0,0,0,0,-0.002284039,39
0,61,18.6,-0.934533953666687,-0.00423254771158099,0,0,0,0,-0.002284039,39
0,62,18.9,-0.950482666492462,-0.00435522990301251,0,0,0,0,-0.002284039,39
0,63,19.2,-0.96551126241684,-0.00441657146438956,0,0,0,0,-0.002284039,39
0,64,19.5,-0.980846583843231,-0.00441657146438956,0,0,0,0,-0.002284039,39
0,65,19.8,-0.995568513870239,-0.00435522990301251,0,0,0,0,-0.002284039,39
0,66,20.1,-1.00998365879059,-0.00429388880729675,0,0,0,0,-0.002284039,39
0,67,20.4,-1.02439892292023,-0.00417120615020394,0,0,0,0,-0.002284039,39
0,68,20.7,-1.03881406784058,-0.00404852349311113,0,0,0,0,-0.002284039,39
0,69,21,-1.05322933197021,-0.00392584130167961,0,0,0,0,-0.002284039,39
0,70,21.3,-1.06887125968933,-0.00404852349311113,0,0,0,0,-0.002284039,39
0,71,21.6,-1.08420658111572,-0.00410986505448818,0,0,0,0,-0.002284039,39
0,72,21.9,-1.0992351770401,-0.00417120615020394,0,0,0,0,-0.002284039,39
0,73,22.2,-1.11457049846649,-0.00423254771158099,0,0,0,0,-0.002284039,39
0,74,22.5,-1.1302125453949,-0.00435522990301251,0,0,0,0,-0.002284039,39
0,75,22.8,-1.1458545923233,-0.00447791256010532,0,0,0,0,-0.002284039,39
0,76,23.1,-1.16149663925171,-0.00460059521719813,0,0,0,0,-0.002284039,39
0,77,23.4,-1.1768319606781,-0.00466193631291389,0,0,0,0,-0.002284039,39
0,78,23.7,-1.19186055660248,-0.00472327740862966,0,0,0,0,-0.002284039,39
0,79,24,-1.20658242702484,-0.00466193631291389,0,0,0,0,-0.002284039,39
0,80,24.3,-1.2213042974472,-0.00460059521719813,0,0,0,0,-0.002284039,39
0,81,24.6,-1.23602628707886,-0.00447791256010532,0,0,0,0,-0.002284039,39
0,82,24.9,-1.25044143199921,-0.00441657146438956,0,0,0,0,-0.002284039,39
