Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.075,0.000307000009343028,0.00125522643793374,0,0,0,0,-0.002284039,39
0,1,0.15,-0.0144149046391249,-4.37362650700379E-05,0,0,0,0,-0.002284039,39
0,2,0.225,-0.0294435154646635,-0.00148764834739268,0,0,0,0,-0.002284039,39
0,3,0.3,-0.0447788313031197,-0.00289653404615819,0,0,0,0,-0.002284039,39
0,4,0.375,-0.0595007352530956,-0.00464046653360128,0,0,0,0,-0.002284039,39
0,5,0.45,-0.0745293498039246,-0.00594948884099722,0,0,0,0,-0.002284039,39
0,6,0.525,-0.0895579606294632,-0.00701130647212267,0,0,0,0,-0.002284039,39
0,7,0.6,-0.104586571455002,-0.0078657902777195,0,0,0,0,-0.002284039,39
0,8,0.675,-0.11961518228054,-0.00861906073987484,0,0,0,0,-0.002284039,39
0,9,0.75,-0.134643793106079,-0.00927847996354103,0,0,0,0,-0.002284039,39
0,10,0.825,-0.149672403931618,-0.00989373214542866,0,0,0,0,-0.002284039,39
0,11,0.9,-0.164701014757156,-0.010446417145431,0,0,0,0,-0.002284039,39
0,12,0.975,-0.179729625582695,-0.0109629109501839,0,0,0,0,-0.002284039,39
0,13,1.05,-0.194758236408234,-0.0115456525236368,0,0,0,0,-0.002284039,39
0,14,1.125,-0.209786847233772,-0.0120014185085893,0,0,0,0,-0.002284039,39
0,15,1.2,-0.224815458059311,-0.0124430758878589,0,0,0,0,-0.002284039,39
0,16,1.275,-0.23984406888485,-0.012893320992589,0,0,0,0,-0.002284039,39
0,17,1.35,-0.254872679710388,-0.0133055336773396,0,0,0,0,-0.002284039,39
0,18,1.425,-0.269901275634766,-0.0136146936565638,0,0,0,0,-0.002284039,39
0,19,1.5,-0.284929901361465,-0.014006051234901,0,0,0,0,-0.002284039,39
0,20,1.575,-0.299958497285843,-0.0143875936046243,0,0,0,0,-0.002284039,39
0,21,1.65,-0.314987123012543,-0.0147838583216071,0,0,0,0,-0.002284039,39
0,22,1.725,-0.33001571893692,-0.0152163142338395,0,0,0,0,-0.002284039,39
0,23,1.8,-0.34504434466362,-0.0156518369913101,0,0,0,0,-0.002284039,39
0,24,1.875,-0.360072940587997,-0.0155132059007883,0,0,0,0,-0.002284039,39
0,25,1.95,-0.375101566314697,-0.0159395281225443,0,0,0,0,-0.002284039,39
0,26,2.025,-0.390436887741089,-0.0159984156489372,0,0,0,0,-0.002284039,39
0,27,2.1,-0.405465483665466,-0.0164038818329573,0,0,0,0,-0.002284039,39
0,28,2.175,-0.420187383890152,-0.0168394036591053,0,0,0,0,-0.002284039,39
0,29,2.25,-0.435522705316544,-0.0168565791100264,0,0,0,0,-0.002284039,39
0,30,2.325,-0.450551331043243,-0.0171246416866779,0,0,0,0,-0.002284039,39
0,31,2.4,-0.465579926967621,-0.0174399353563786,0,0,0,0,-0.002284039,39
0,32,2.475,-0.480608552694321,-0.0178785249590874,0,0,0,0,-0.002284039,39
0,33,2.55,-0.49594384431839,-0.0183165017515421,0,0,0,0,-0.002284039,39
0,34,2.625,-0.510665774345398,-0.0187029521912336,0,0,0,0,-0.002284039,39
0,35,2.7,-0.525694370269775,-0.019113939255476,0,0,0,0,-0.002284039,39
0,36,2.775,-0.540722966194153,-0.0195862669497728,0,0,0,0,-0.002284039,39
0,37,2.85,-0.555751621723175,-0.0199788510799408,0,0,0,0,-0.002284039,39
0,38,2.925,-0.570780217647552,-0.0196353401988745,0,0,0,0,-0.002284039,39
0,39,3,-0.58580881357193,-0.0179177839308977,0,0,0,0,-0.002284039,39
0,40,3.075,-0.600837409496307,-0.00369274383410811,0,0,0,0,-0.002284039,39
0,41,3.15,-0.61586606502533,-0.00701130647212267,0,0,0,0,-0.002284039,39
