Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.016,-0.00153323798440397,0.000207210861844942,0,0,0,0,-0.002284039,38
0,1,0.032,-0.00276006339117885,0.00019800967129413,0,0,0,0,-0.002284039,38
0,2,0.048,-0.00460030138492584,0.000191016762983054,0,0,0,0,-0.002284039,38
0,3,0.064,-0.00582712702453136,0.000186538847628981,0,0,0,0,-0.002284039,38
0,4,0.08,-0.00766736501827836,0.000181202165549621,0,0,0,0,-0.002284039,38
0,5,0.096,-0.00950760301202536,0.000176478890352882,0,0,0,0,-0.002284039,38
0,6,0.112,-0.0107344286516309,0.000172921092598699,0,0,0,0,-0.002284039,38
0,7,0.128,-0.0122679602354765,0.000168627200764604,0,0,0,0,-0.002284039,38
0,8,0.144,-0.0141081977635622,0.000164149285410531,0,0,0,0,-0.002284039,38
0,9,0.16,-0.0156417302787304,0.000160407478688285,0,0,0,0,-0.002284039,38
0,10,0.176,-0.0171752609312534,0.000157217727974057,0,0,0,0,-0.002284039,38
0,11,0.192,-0.0190155003219843,0.000153598593897186,0,0,0,0,-0.002284039,38
0,12,0.208,-0.0202423240989447,0.000151390311657451,0,0,0,0,-0.002284039,38
0,13,0.224,-0.0220825634896755,0.000148323248140514,0,0,0,0,-0.002284039,38
0,14,0.24,-0.0236160941421986,0.000145624231663533,0,0,0,0,-0.002284039,38
0,15,0.256,-0.0254563316702843,0.000142986551509239,0,0,0,0,-0.002284039,38
0,16,0.272,-0.0266831573098898,0.000140532909426838,0,0,0,0,-0.002284039,38
0,17,0.288,-0.0288301017135382,0.000137625276693143,0,0,0,0,-0.002284039,38
0,18,0.304,-0.0303636342287064,0.000135318841785192,0,0,0,0,-0.002284039,38
0,19,0.32,-0.0315904580056667,0.000132852917886339,0,0,0,0,-0.002284039,38
0,20,0.336,-0.0334306992590427,0.000130442218505777,0,0,0,0,-0.002284039,38
0,21,0.352,-0.0349642299115658,0.000128111249068752,0,0,0,0,-0.002284039,38
0,22,0.368,-0.0364977605640888,0.000126068582176231,0,0,0,0,-0.002284039,38
0,23,0.384,-0.0377245843410492,0.000123921636259183,0,0,0,0,-0.002284039,38
0,24,0.4,-0.0398715287446976,0.000121836033940781,0,0,0,0,-0.002284039,38
0,25,0.416,-0.0414050631225109,0.000119498930871487,0,0,0,0,-0.002284039,38
0,26,0.432,-0.0432453006505966,0.000117585084808525,0,0,0,0,-0.002284039,38
0,27,0.448,-0.044472124427557,0.000115616028779186,0,0,0,0,-0.002284039,38
0,28,0.464,-0.0456989519298077,0.000113180780317634,0,0,0,0,-0.002284039,38
0,29,0.48,-0.047845896333456,0.000111144247057382,0,0,0,0,-0.002284039,38
0,30,0.496,-0.0493794269859791,0.000109212000097614,0,0,0,0,-0.002284039,38
0,31,0.512,-0.0512196645140648,0.000107015985122416,0,0,0,0,-0.002284039,38
0,32,0.528,-0.0524464920163155,0.00010494878370082,0,0,0,0,-0.002284039,38
0,33,0.544,-0.0542867295444012,0.000102562604297418,0,0,0,0,-0.002284039,38
0,34,0.56,-0.0555135533213615,0.000100415658380371,0,0,0,0,-0.002284039,38
0,35,0.576,-0.0573537908494473,9.83668651315384E-05,0,0,0,0,-0.002284039,38
0,36,0.592,-0.0588873252272606,9.64898208621889E-05,0,0,0,0,-0.002284039,38
0,37,0.608,-0.0607275627553463,9.44778294069692E-05,0,0,0,0,-0.002284039,38
0,38,0.624,-0.062567800283432,9.23554180189967E-05,0,0,0,0,-0.002284039,38
0,39,0.64,-0.0637946277856827,9.05642518773675E-05,0,0,0,0,-0.002284039,38
0,40,0.656,-0.0650214478373528,8.82148815435357E-05,0,0,0,0,-0.002284039,38
0,41,0.672,-0.0671683922410011,8.66200134623796E-05,0,0,0,0,-0.002284039,38
0,42,0.688,-0.0687019228935242,8.44608002807945E-05,0,0,0,0,-0.002284039,38
