Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.005,-0.00582712702453136,0.0260209664702415,0,0,0,0,-0.002284039,38
0,1,0.01,-0.00613383296877146,0.0243524834513664,0,0,0,0,-0.002284039,38
0,2,0.015,-0.00674724578857422,0.0229355003684759,0,0,0,0,-0.002284039,38
0,3,0.02,-0.00736065860837698,0.0217945519834757,0,0,0,0,-0.002284039,38
0,4,0.025,-0.0085874842479825,0.0208069588989019,0,0,0,0,-0.002284039,38
0,5,0.03,-0.0088941901922226,0.0199604481458664,0,0,0,0,-0.002284039,38
0,6,0.035,-0.00950760301202536,0.0191568788141012,0,0,0,0,-0.002284039,38
0,7,0.04,-0.0113478405401111,0.0184514541178942,0,0,0,0,-0.002284039,38
0,8,0.045,-0.0119612533599138,0.0177889671176672,0,0,0,0,-0.002284039,38
0,9,0.05,-0.0125746661797166,0.0171939581632614,0,0,0,0,-0.002284039,38
0,10,0.055,-0.0138014918193221,0.0167584344744682,0,0,0,0,-0.002284039,38
0,11,0.06,-0.014721610583365,0.0162615701556206,0,0,0,0,-0.002284039,38
0,12,0.065,-0.0159484352916479,0.0157585721462965,0,0,0,0,-0.002284039,38
0,13,0.07,-0.0168685559183359,0.0153291830793023,0,0,0,0,-0.002284039,38
0,14,0.075,-0.0171752609312534,0.0148813920095563,0,0,0,0,-0.002284039,38
0,15,0.08,-0.018402086570859,0.0145133435726166,0,0,0,0,-0.002284039,38
0,16,0.085,-0.0193222053349018,0.0142066376283765,0,0,0,0,-0.002284039,38
0,17,0.09,-0.0202423240989447,0.0139183336868882,0,0,0,0,-0.002284039,38
0,18,0.095,-0.0211624447256327,0.0136054931208491,0,0,0,0,-0.002284039,38
0,19,0.1,-0.0214691497385502,0.0133662624284625,0,0,0,0,-0.002284039,38
0,20,0.105,-0.022389268502593,0.013085319660604,0,0,0,0,-0.002284039,38
0,21,0.11,-0.0230026822537184,0.0127694122493267,0,0,0,0,-0.002284039,38
0,22,0.115,-0.0242295078933239,0.0125191397964954,0,0,0,0,-0.002284039,38
0,23,0.12,-0.0254563316702843,0.0122768422588706,0,0,0,0,-0.002284039,38
0,25,0.13,-0.0269898641854525,0.0118112619966269,0,0,0,0,-0.002284039,38
0,26,0.135,-0.0279099829494953,0.011605154722929,0,0,0,0,-0.002284039,38
0,27,0.14,-0.029750220477581,0.0113800326362252,0,0,0,0,-0.002284039,38
0,28,0.145,-0.0300569273531437,0.0111500024795532,0,0,0,0,-0.002284039,38
0,29,0.15,-0.0309770461171865,0.0109543241560459,0,0,0,0,-0.002284039,38
0,30,0.155,-0.0318971648812294,0.0107660060748458,0,0,0,0,-0.002284039,38
0,31,0.16,-0.0334306992590427,0.0105832098051906,0,0,0,0,-0.002284039,38
0,32,0.165,-0.0337374024093151,0.0103973457589746,0,0,0,0,-0.002284039,38
0,33,0.17,-0.0349642299115658,0.0102200694382191,0,0,0,0,-0.002284039,38
0,34,0.175,-0.0361910536885262,0.0100532211363316,0,0,0,0,-0.002284039,38
0,35,0.18,-0.0371111743152142,0.00989864114671946,0,0,0,0,-0.002284039,38
0,36,0.185,-0.0377245843410492,0.00975264888256788,0,0,0,0,-0.002284039,38
0,37,0.19,-0.0389514118432999,0.00960236229002476,0,0,0,0,-0.002284039,38
0,38,0.195,-0.0398715287446976,0.00945759750902653,0,0,0,0,-0.002284039,38
0,39,0.2,-0.0407916493713856,0.00931467209011316,0,0,0,0,-0.002284039,38
0,40,0.205,-0.0417117699980736,0.00917542725801468,0,0,0,0,-0.002284039,38
0,41,0.21,-0.0432453006505966,0.0090263681486249,0,0,0,0,-0.002284039,38
0,42,0.215,-0.0441654175519943,0.00891656707972288,0,0,0,0,-0.002284039,38
0,43,0.22,-0.0450855381786823,0.00879940576851368,0,0,0,0,-0.002284039,38
0,44,0.225,-0.0456989519298077,0.00872334185987711,0,0,0,0,-0.002284039,38
0,45,0.23,-0.0466190688312054,0.00858348421752453,0,0,0,0,-0.002284039,38
0,46,0.235,-0.0475391894578934,0.0084614148363471,0,0,0,0,-0.002284039,38
0,47,0.24,-0.0484593063592911,0.00835897494107485,0,0,0,0,-0.002284039,38
0,48,0.245,-0.0496861338615417,0.00824610702693462,0,0,0,0,-0.002284039,38
0,50,0.255,-0.0518330782651901,0.00803877413272858,0,0,0,0,-0.002284039,38
0,51,0.26,-0.0527531951665878,0.00793817453086376,0,0,0,0,-0.002284039,38
0,52,0.265,-0.0536733157932758,0.00782775972038507,0,0,0,0,-0.002284039,38
0,53,0.27,-0.0549001395702362,0.00773206725716591,0,0,0,0,-0.002284039,38
0,54,0.275,-0.0552068464457989,0.00763085437938571,0,0,0,0,-0.002284039,38
0,55,0.28,-0.0564336739480495,0.00754436291754246,0,0,0,0,-0.002284039,38
0,56,0.285,-0.0579672046005726,0.00744989747181535,0,0,0,0,-0.002284039,38
0,57,0.29,-0.0588873252272606,0.00735175143927336,0,0,0,0,-0.002284039,38
0,58,0.295,-0.0595007352530956,0.0072621931321919,0,0,0,0,-0.002284039,38
0,59,0.3,-0.0607275627553463,0.00717692915350199,0,0,0,0,-0.002284039,38
0,60,0.305,-0.0613409727811813,0.00709657184779644,0,0,0,0,-0.002284039,38
0,61,0.31,-0.062567800283432,0.00700455997139215,0,0,0,0,-0.002284039,38
0,62,0.315,-0.0634879171848297,0.00691745523363352,0,0,0,0,-0.002284039,38
0,63,0.32,-0.0647147446870804,0.00686715543270111,0,0,0,0,-0.002284039,38
0,64,0.325,-0.0656348615884781,0.00677453028038144,0,0,0,0,-0.002284039,38
0,65,0.33,-0.0665549784898758,0.00669355969876051,0,0,0,0,-0.002284039,38
0,66,0.335,-0.0677818059921265,0.00663405889645219,0,0,0,0,-0.002284039,38
0,67,0.34,-0.0687019228935242,0.00656351633369923,0,0,0,0,-0.002284039,38
0,68,0.345,-0.0699287503957748,0.00648315902799368,0,0,0,0,-0.002284039,38
0,69,0.35,-0.0708488672971725,0.00643101893365383,0,0,0,0,-0.002284039,38
0,70,0.355,-0.0714622810482979,0.00645494228228927,0,0,0,0,-0.002284039,38
0,71,0.36,-0.0723824054002762,0.0063874670304358,0,0,0,0,-0.002284039,38
0,72,0.365,-0.0733025223016739,0.00631140358746052,0,0,0,0,-0.002284039,38
0,73,0.37,-0.0745293498039246,0.00624822219833732,0,0,0,0,-0.002284039,38
0,75,0.38,-0.0766762942075729,0.00611020438373089,0,0,0,0,-0.002284039,38
0,76,0.385,-0.0772897005081177,0.00604334240779281,0,0,0,0,-0.002284039,38
0,77,0.39,-0.0788232386112213,0.00597218656912446,0,0,0,0,-0.002284039,38
0,78,0.395,-0.0794366449117661,0.00589489657431841,0,0,0,0,-0.002284039,38
0,79,0.4,-0.0806634724140167,0.00583662232384086,0,0,0,0,-0.002284039,38
0,80,0.405,-0.0818902999162674,0.00577160064131022,0,0,0,0,-0.002284039,38
0,81,0.41,-0.0831171274185181,0.00570228463038802,0,0,0,0,-0.002284039,38
0,82,0.415,-0.0834238305687904,0.00564094353467226,0,0,0,0,-0.002284039,38
0,83,0.42,-0.0846506580710411,0.00557898869737983,0,0,0,0,-0.002284039,38
0,84,0.425,-0.0852640718221664,0.00554586481302977,0,0,0,0,-0.002284039,38
0,85,0.43,-0.0871043056249619,0.00547286868095398,0,0,0,0,-0.002284039,38
0,86,0.435,-0.0877177193760872,0.00541520770639181,0,0,0,0,-0.002284039,38
0,87,0.44,-0.0886378362774849,0.00535263959318399,0,0,0,0,-0.002284039,38
