Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.075,2.93659866201779E-07,-0.000138447183417156,0,0,0,0,-0.002284039,39
0,1,0.15,-0.0150283174589276,-0.000277201121207327,0,0,0,0,-0.002284039,39
0,2,0.225,-0.0300569273531437,-0.000428284663939849,0,0,0,0,-0.002284039,39
0,3,0.3,-0.0447788313031197,-0.00056636385852471,0,0,0,0,-0.002284039,39
0,4,0.375,-0.0598074421286583,-0.000720514450222254,0,0,0,0,-0.002284039,39
0,5,0.45,-0.0748360529541969,-0.000860556610859931,0,0,0,0,-0.002284039,39
0,6,0.525,-0.0898646637797356,-0.00101642473600805,0,0,0,0,-0.002284039,39
0,7,0.6,-0.104893274605274,-0.00115744827780873,0,0,0,0,-0.002284039,39
0,8,0.675,-0.119921885430813,-0.00131386856082827,0,0,0,0,-0.002284039,39
0,9,0.75,-0.134950488805771,-0.00145826593507081,0,0,0,0,-0.002284039,39
0,10,0.825,-0.14997909963131,-0.00161732384003699,0,0,0,0,-0.002284039,39
0,11,0.9,-0.164701014757156,-0.00176429748535156,0,0,0,0,-0.002284039,39
0,12,0.975,-0.179729625582695,-0.00192550185602158,0,0,0,0,-0.002284039,39
0,13,1.05,-0.194758236408234,-0.00206904043443501,0,0,0,0,-0.002284039,39
0,14,1.125,-0.209786847233772,-0.00222730077803135,0,0,0,0,-0.002284039,39
0,15,1.2,-0.224815458059311,-0.00237390655092895,0,0,0,0,-0.002284039,39
0,16,1.275,-0.23984406888485,-0.00253155361860991,0,0,0,0,-0.002284039,39
0,17,1.35,-0.254872679710388,-0.00267447880469263,0,0,0,0,-0.002284039,39
0,18,1.425,-0.269594579935074,-0.00283028557896614,0,0,0,0,-0.002284039,39
0,19,1.5,-0.284929901361465,-0.00297075696289539,0,0,0,0,-0.002284039,39
0,20,1.575,-0.299651801586151,-0.00311858952045441,0,0,0,0,-0.002284039,39
0,21,1.65,-0.314680397510529,-0.00325660733506083,0,0,0,0,-0.002284039,39
0,22,1.725,-0.329709023237228,-0.00340014579705894,0,0,0,0,-0.002284039,39
0,23,1.8,-0.344737619161606,-0.00353509676642716,0,0,0,0,-0.002284039,39
0,24,1.875,-0.359766244888306,-0.00366943399421871,0,0,0,0,-0.002284039,39
0,25,1.95,-0.374794840812683,-0.00380070437677205,0,0,0,0,-0.002284039,39
0,26,2.025,-0.389823466539383,-0.00393258826807141,0,0,0,0,-0.002284039,39
0,27,2.1,-0.40485206246376,-0.00405649747699499,0,0,0,0,-0.002284039,39
0,28,2.175,-0.419573992490768,-0.00418531429022551,0,0,0,0,-0.002284039,39
0,29,2.25,-0.434602588415146,-0.00430492963641882,0,0,0,0,-0.002284039,39
0,30,2.325,-0.449631214141846,-0.00443067913874984,0,0,0,0,-0.002284039,39
0,31,2.4,-0.464659810066223,-0.00455152150243521,0,0,0,0,-0.002284039,39
0,32,2.475,-0.479688435792923,-0.0046748174354434,0,0,0,0,-0.002284039,39
0,33,2.55,-0.4947170317173,-0.00479504652321339,0,0,0,0,-0.002284039,39
0,34,2.625,-0.509745657444,-0.00491772871464491,0,0,0,0,-0.002284039,39
0,35,2.7,-0.524774253368378,-0.0050410246476531,0,0,0,0,-0.002284039,39
0,36,2.775,-0.539496183395386,-0.00516677461564541,0,0,0,0,-0.002284039,39
0,37,2.85,-0.554524779319763,-0.00528823025524616,0,0,0,0,-0.002284039,39
0,38,2.925,-0.569553375244141,-0.00541213946416974,0,0,0,0,-0.002284039,39
0,39,3,-0.584581971168518,-0.00553482212126255,0,0,0,0,-0.002284039,39
0,40,3.075,-0.59961062669754,-0.00566486548632383,0,0,0,0,-0.002284039,39
0,41,3.15,-0.614332497119904,-0.00579245528206229,0,0,0,0,-0.002284039,39
0,42,3.225,-0.629667818546295,-0.00592495268210769,0,0,0,0,-0.002284039,39
0,43,3.3,-0.644389748573303,-0.00605928990989923,0,0,0,0,-0.002284039,39
0,44,3.375,-0.659418344497681,-0.00620037456974387,0,0,0,0,-0.002284039,39
0,45,3.45,-0.674446940422058,-0.00634268671274185,0,0,0,0,-0.002284039,39
0,46,3.525,-0.689475536346436,-0.00650340085849166,0,0,0,0,-0.002284039,39
0,47,3.6,-0.704504191875458,-0.0066536869853735,0,0,0,0,-0.002284039,39
0,48,3.675,-0.719532787799835,-0.00681930826976895,0,0,0,0,-0.002284039,39
0,49,3.75,-0.734254658222198,-0.00698676984757185,0,0,0,0,-0.002284039,39
0,50,3.825,-0.749283313751221,-0.00716649973765016,0,0,0,0,-0.002284039,39
0,51,3.9,-0.764311909675598,-0.00734868319705129,0,0,0,0,-0.002284039,39
0,52,3.975,-0.779340505599976,-0.00754006812348962,0,0,0,0,-0.002284039,39
0,53,4.05,-0.794369101524353,-0.0077363601885736,0,0,0,0,-0.002284039,39
0,54,4.125,-0.809397757053375,-0.00794553384184837,0,0,0,0,-0.002284039,39
0,55,4.2,-0.824119627475739,-0.00815470796078444,0,0,0,0,-0.002284039,39
0,56,4.275,-0.83945494890213,-0.00837676320225,0,0,0,0,-0.002284039,39
0,57,4.35,-0.854176878929138,-0.00858716387301683,0,0,0,0,-0.002284039,39
0,58,4.425,-0.869205474853516,-0.00880492478609085,0,0,0,0,-0.002284039,39
0,59,4.5,-0.884234070777893,-0.00902575347572565,0,0,0,0,-0.002284039,39
0,60,4.575,-0.899262666702271,-0.00926927849650383,0,0,0,0,-0.002284039,39
0,61,4.65,-0.914291322231293,-0.0095201637595892,0,0,0,0,-0.002284039,39
0,62,4.725,-0.92931991815567,-0.00982196349650621,0,0,0,0,-0.002284039,39
0,63,4.8,-0.944348514080048,-0.0101237623021007,0,0,0,0,-0.002284039,39
0,64,4.875,-0.959377110004425,-0.0104709537699819,0,0,0,0,-0.002284039,39
0,65,4.95,-0.974099040031433,-0.0108721256256104,0,0,0,0,-0.002284039,39
0,66,5.025,-0.989127635955811,-0.011379417963326,0,0,0,0,-0.002284039,39
0,67,5.1,-1.00415623188019,-0.0120014185085893,0,0,0,0,-0.002284039,39
0,68,5.175,-1.01918482780457,-0.0127270855009556,0,0,0,0,-0.002284039,39
0,69,5.25,-1.03421354293823,-0.0136429108679295,0,0,0,0,-0.002284039,39
0,70,5.325,-1.0489354133606,-0.0147255845367908,0,0,0,0,-0.002284039,39
0,71,5.4,-1.06427073478699,-0.0159432087093592,0,0,0,0,-0.002284039,39
0,72,5.475,-1.07899260520935,-0.0172344427555799,0,0,0,0,-0.002284039,39
0,73,5.55,-1.09432792663574,-0.0183655750006437,0,0,0,0,-0.002284039,39
0,74,5.625,-1.10904979705811,-0.0196108035743237,0,0,0,0,-0.002284039,39
0,75,5.7,-1.12407839298248,-0.0206106659024954,0,0,0,0,-0.002284039,39
0,76,5.775,-1.13910710811615,-0.0214755777269602,0,0,0,0,-0.002284039,39
0,77,5.85,-1.15413570404053,-0.0222239419817925,0,0,0,0,-0.002284039,39
0,78,5.925,-1.1691642999649,-0.0228128172457218,0,0,0,0,-0.002284039,39
0,79,6,-1.18419289588928,-0.0232299380004406,0,0,0,0,-0.002284039,39
0,80,6.075,-1.19891476631165,-0.0235366448760033,0,0,0,0,-0.002284039,39
1,81,6.15,-1.18388617038727,-0.0200953986495733,0,0,0,0,-0.002284039,39
1,82,6.225,-1.1691642999649,-0.0184023808687925,0,0,0,0,-0.002284039,39
1,83,6.3,-1.15382897853851,-0.0169547256082296,0,0,0,0,-0.002284039,39
1,84,6.375,-1.13880038261414,-0.0157892424613237,0,0,0,0,-0.002284039,39
1,85,6.45,-1.12377178668976,-0.0147648435086012,0,0,0,0,-0.002284039,39
