Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.3,0.000307000009343028,0.000428162631578743,0,0,0,0,-0.002284039,39
0,1,0.6,-0.014721610583365,0.000240151130128652,0,0,0,0,-0.002284039,39
0,2,0.9,-0.029750220477581,0.000180098024429753,0,0,0,0,-0.002284039,39
0,3,1.2,-0.0447788313031197,0.000135134876472875,0,0,0,0,-0.002284039,39
0,4,1.5,-0.060114149004221,5.49924516235478E-05,0,0,0,0,-0.002284039,39
0,5,1.8,-0.0757561698555946,7.90689518908039E-05,0,0,0,0,-0.002284039,39
0,6,2.1,-0.0901713669300079,2.27760192501592E-05,0,0,0,0,-0.002284039,39
0,7,2.4,-0.104893274605274,2.18190943996888E-05,0,0,0,0,-0.002284039,39
0,8,2.7,-0.120228588581085,1.09801458165748E-05,0,0,0,0,-0.002284039,39
0,9,3,-0.136177316308022,4.80854259876651E-06,0,0,0,0,-0.002284039,39
0,10,3.3,-0.150285810232162,-7.05792581356945E-06,0,0,0,0,-0.002284039,39
0,11,3.6,-0.165314421057701,-1.14266504169791E-05,0,0,0,0,-0.002284039,39
0,12,3.9,-0.180036321282387,-4.11599867220502E-05,0,0,0,0,-0.002284039,39
0,13,4.2,-0.195371642708778,-5.85318302910309E-05,0,0,0,0,-0.002284039,39
0,14,4.5,-0.210400253534317,-0.000129000633023679,0,0,0,0,-0.002284039,39
0,15,4.8,-0.223895341157913,-0.000100722354545724,0,0,0,0,-0.002284039,39
0,16,5.1,-0.2410708963871,-0.000158199065481313,0,0,0,0,-0.002284039,39
0,17,5.4,-0.255486100912094,-0.000169792576343752,0,0,0,0,-0.002284039,39
0,18,5.7,-0.27020800113678,-0.000165682708029635,0,0,0,0,-0.002284039,39
0,19,6,-0.285236597061157,-0.000171264764503576,0,0,0,0,-0.002284039,39
0,20,6.3,-0.300571918487549,-0.000186477394890971,0,0,0,0,-0.002284039,39
0,21,6.6,-0.315600544214249,-0.000198991008801386,0,0,0,0,-0.002284039,39
0,22,6.9,-0.330629140138626,-0.000209971098229289,0,0,0,0,-0.002284039,39
0,23,7.2,-0.345657765865326,-0.00022414093837142,0,0,0,0,-0.002284039,39
0,24,7.5,-0.360686361789703,-0.000231931277085096,0,0,0,0,-0.002284039,39
0,25,7.8,-0.375714987516403,-0.000250149634666741,0,0,0,0,-0.002284039,39
0,26,8.1,-0.390743583440781,-0.000264074100414291,0,0,0,0,-0.002284039,39
0,27,8.4,-0.40577220916748,-0.000275728933047503,0,0,0,0,-0.002284039,39
0,28,8.7,-0.420800805091858,-0.000286647700704634,0,0,0,0,-0.002284039,39
0,29,9,-0.435829401016235,-0.000298179831588641,0,0,0,0,-0.002284039,39
0,30,9.3,-0.450858026742935,-0.000308546528685838,0,0,0,0,-0.002284039,39
0,31,9.6,-0.465886622667313,-0.000320508057484403,0,0,0,0,-0.002284039,39
0,32,9.9,-0.480915248394012,-0.000331610848661512,0,0,0,0,-0.002284039,39
0,33,10.2,-0.49594384431839,-0.000343879102729261,0,0,0,0,-0.002284039,39
0,34,10.5,-0.510972440242767,-0.000360502570401877,0,0,0,0,-0.002284039,39
0,35,10.8,-0.52600109577179,-0.000380561163183302,0,0,0,0,-0.002284039,39
0,36,11.1,-0.541029691696167,-0.000411047774832696,0,0,0,0,-0.002284039,39
0,37,11.4,-0.556058287620544,-0.000460366165498272,0,0,0,0,-0.002284039,39
0,38,11.7,-0.571086883544922,-0.00053434370784089,0,0,0,0,-0.002284039,39
0,39,12,-0.586115539073944,-0.000651566893793643,0,0,0,0,-0.002284039,39
0,40,12.3,-0.601144134998322,-0.00079209974501282,0,0,0,0,-0.002284039,39
0,41,12.6,-0.616172730922699,-0.000897606718353927,0,0,0,0,-0.002284039,39
0,42,12.9,-0.631201326847076,-0.000951587047893554,0,0,0,0,-0.002284039,39
0,43,13.2,-0.646229982376099,-0.000978699885308743,0,0,0,0,-0.002284039,39
0,44,13.5,-0.661258578300476,-0.00100262300111353,0,0,0,0,-0.002284039,39
0,45,13.8,-0.676287174224854,-0.0010315147228539,0,0,0,0,-0.002284039,39
0,46,14.1,-0.691315770149231,-0.00106684723868966,0,0,0,0,-0.002284039,39
0,47,14.4,-0.706344425678253,-0.00110481749288738,0,0,0,0,-0.002284039,39
0,48,14.7,-0.721373021602631,-0.0011494739446789,0,0,0,0,-0.002284039,39
0,49,15,-0.736401617527008,-0.00121425034012645,0,0,0,0,-0.002284039,39
0,50,15.3,-0.751430213451386,-0.00132104544900358,0,0,0,0,-0.002284039,39
0,51,15.6,-0.766765534877777,-0.00147893792018294,0,0,0,0,-0.002284039,39
0,52,15.9,-0.781487464904785,-0.00166860513854772,0,0,0,0,-0.002284039,39
0,53,16.2,-0.796516060829163,-0.00169731234200299,0,0,0,0,-0.002284039,39
0,54,16.5,-0.81154465675354,-0.00173350365366787,0,0,0,0,-0.002284039,39
0,55,16.8,-0.826573312282562,-0.00173227686900645,0,0,0,0,-0.002284039,39
0,56,17.1,-0.84160190820694,-0.00173718412406743,0,0,0,0,-0.002284039,39
0,57,17.4,-0.856630504131317,-0.00173411704599857,0,0,0,0,-0.002284039,39
0,58,17.7,-0.871659100055695,-0.00176172063220292,0,0,0,0,-0.002284039,39
0,59,18,-0.886687755584717,-0.0017782828072086,0,0,0,0,-0.002284039,39
0,60,18.3,-0.901716351509094,-0.00181386072654277,0,0,0,0,-0.002284039,39
0,61,18.6,-0.917051672935486,-0.00182980939280242,0,0,0,0,-0.002284039,39
0,62,18.9,-0.931773543357849,-0.00186661421321332,0,0,0,0,-0.002284039,39
0,63,19.2,-0.946802198886871,-0.00188624334987253,0,0,0,0,-0.002284039,39
0,64,19.5,-0.962137520313263,-0.0019328627968207,0,0,0,0,-0.002284039,39
0,65,19.8,-0.97716611623764,-0.0019764150492847,0,0,0,0,-0.002284039,39
0,66,20.1,-0.992194712162018,-0.00200708559714258,0,0,0,0,-0.002284039,39
0,67,20.4,-1.00691664218903,-0.00203039543703198,0,0,0,0,-0.002284039,39
0,68,20.7,-1.02225196361542,-0.00204634410329163,0,0,0,0,-0.002284039,39
0,69,21,-1.03728055953979,-0.0020948036108166,0,0,0,0,-0.002284039,39
0,70,21.3,-1.05230915546417,-0.00213160854764283,0,0,0,0,-0.002284039,39
0,71,21.6,-1.06733775138855,-0.00215307786129415,0,0,0,0,-0.002284039,39
0,72,21.9,-1.08236634731293,-0.0021862022113055,0,0,0,0,-0.002284039,39
0,73,22.2,-1.0973949432373,-0.00223404844291508,0,0,0,0,-0.002284039,39
0,74,22.5,-1.11242365837097,-0.00225122389383614,0,0,0,0,-0.002284039,39
