Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.3,2.93659866201779E-07,0.000613412703387439,0,0,0,0,-0.002284039,39
0,1,0.6,-0.014721610583365,0.000368047622032464,0,0,0,0,-0.002284039,39
0,2,0.9,-0.029750220477581,0.000245365081354976,0,0,0,0,-0.002284039,39
0,3,1.2,-0.044472124427557,0.000184023811016232,0,0,0,0,-0.002284039,39
0,4,1.5,-0.0595007352530956,0.000122682540677488,0,0,0,0,-0.002284039,39
0,5,1.8,-0.0745293498039246,6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,6,2.1,-0.0892512500286102,6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,7,2.4,-0.104279860854149,0,0,0,0,0,-0.002284039,39
0,8,2.7,-0.119308471679688,0,0,0,0,0,-0.002284039,39
0,9,3,-0.134337082505226,0,0,0,0,0,-0.002284039,39
0,10,3.3,-0.149058982729912,0,0,0,0,0,-0.002284039,39
0,11,3.6,-0.16408759355545,0,0,0,0,0,-0.002284039,39
0,12,3.9,-0.179116204380989,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,13,4.2,-0.194144815206528,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,14,4.5,-0.208866730332375,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,15,4.8,-0.223895341157913,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,16,5.1,-0.238923951983452,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,17,5.4,-0.25395256280899,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,18,5.7,-0.268674463033676,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,19,6,-0.283703058958054,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,20,6.3,-0.298731684684753,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,21,6.6,-0.313453584909439,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,22,6.9,-0.328482210636139,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,23,7.2,-0.343510806560516,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,24,7.5,-0.358232706785202,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,25,7.8,-0.373568028211594,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,26,8.1,-0.388289928436279,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,27,8.4,-0.403318554162979,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,28,8.7,-0.418347150087357,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,29,9,-0.433069050312042,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,30,9.3,-0.448097676038742,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,31,9.6,-0.46312627196312,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,32,9.9,-0.478154897689819,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,33,10.2,-0.492876797914505,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,34,10.5,-0.507905423641205,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,35,10.8,-0.522934019565582,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,36,11.1,-0.53765594959259,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,37,11.4,-0.552684545516968,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,38,11.7,-0.567713141441345,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,39,12,-0.582435071468353,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,40,12.3,-0.597463667392731,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,41,12.6,-0.612492263317108,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,42,12.9,-0.627520859241486,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,43,13.2,-0.642242789268494,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,44,13.5,-0.657271385192871,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,45,13.8,-0.672299981117249,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,46,14.1,-0.687328636646271,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,47,14.4,-0.702050507068634,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,48,14.7,-0.717079102993011,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,49,15,-0.732107758522034,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,50,15.3,-0.746829628944397,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,51,15.6,-0.761858284473419,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,52,15.9,-0.776886880397797,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,53,16.2,-0.79160875082016,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,54,16.5,-0.806637406349182,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,55,16.8,-0.82166600227356,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,56,17.1,-0.836694598197937,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,57,17.4,-0.851416528224945,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,58,17.7,-0.866445124149323,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,59,18,-0.8814737200737,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,60,18.3,-0.896195650100708,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,61,18.6,-0.911224246025085,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,62,18.9,-0.926252841949463,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,63,19.2,-0.94128143787384,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,64,19.5,-0.956310093402863,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,65,19.8,-0.971031963825226,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,66,20.1,-0.986060619354248,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,67,20.4,-1.00108921527863,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,68,20.7,-1.01581108570099,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,69,21,-1.03083968162537,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,70,21.3,-1.04586827754974,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,71,21.6,-1.06089699268341,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,72,21.9,-1.07561886310577,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,73,22.2,-1.09064745903015,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,74,22.5,-1.10567605495453,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,75,22.8,-1.12070465087891,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,76,23.1,-1.13542652130127,-0.00159487291239202,0,0,0,0,-0.002284039,39
0,77,23.4,-1.15045523643494,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,78,23.7,-1.16548383235931,-0.001840237993747,0,0,0,0,-0.002284039,39
0,79,24,-1.18051242828369,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,80,24.3,-1.19523429870605,-0.00214694440364838,0,0,0,0,-0.002284039,39
0,81,24.6,-1.21026289463043,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,82,24.9,-1.22529149055481,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,83,25.2,-1.24001348018646,-0.0028216983191669,0,0,0,0,-0.002284039,39
0,84,25.5,-1.25504207611084,-0.00312840472906828,0,0,0,0,-0.002284039,39
0,85,25.8,-1.27007067203522,-0.00337376981042326,0,0,0,0,-0.002284039,39
0,86,26.1,-1.28479254245758,-0.0037418173160404,0,0,0,0,-0.002284039,39
0,87,26.4,-1.29982113838196,-0.00404852349311113,0,0,0,0,-0.002284039,39
0,88,26.7,-1.31484973430634,-0.00447791256010532,0,0,0,0,-0.002284039,39
0,89,27,-1.32987844944,-0.00484596006572247,0,0,0,0,-0.002284039,39
0,90,27.3,-1.34460031986237,-0.00527534913271666,0,0,0,0,-0.002284039,39
0,91,27.6,-1.35962891578674,-0.00576607929542661,0,0,0,0,-0.002284039,39
