Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0075,-0.00214665080420673,0.00756828626617789,0,0,0,0,-0.002284039,38
0,1,0.015,-0.00368018238805234,0.00735788559541106,0,0,0,0,-0.002284039,38
0,2,0.0225,-0.0052137142047286,0.00718367658555508,0,0,0,0,-0.002284039,38
0,3,0.03,-0.00674724578857422,0.00703339045867324,0,0,0,0,-0.002284039,38
0,4,0.0375,-0.00797407142817974,0.00688739819452167,0,0,0,0,-0.002284039,38
0,5,0.045,-0.00950760301202536,0.00674692681059241,0,0,0,0,-0.002284039,38
0,6,0.0525,-0.0107344286516309,0.00661136256530881,0,0,0,0,-0.002284039,38
0,7,0.06,-0.0122679602354765,0.00652119098231196,0,0,0,0,-0.002284039,38
0,8,0.0675,-0.0141081977635622,0.00637581199407578,0,0,0,0,-0.002284039,38
0,9,0.075,-0.0156417302787304,0.00624699518084526,0,0,0,0,-0.002284039,38
0,10,0.0825,-0.0168685559183359,0.00612492626532912,0,0,0,0,-0.002284039,38
0,11,0.09,-0.018402086570859,0.00599733646959066,0,0,0,0,-0.002284039,38
0,12,0.0975,-0.0202423240989447,0.00587588082998991,0,0,0,0,-0.002284039,38
0,13,0.105,-0.0211624447256327,0.00575687875971198,0,0,0,0,-0.002284039,38
0,14,0.1125,-0.0233093872666359,0.00563848996534944,0,0,0,0,-0.002284039,38
0,15,0.12,-0.0245362129062414,0.00552500877529383,0,0,0,0,-0.002284039,38
0,16,0.1275,-0.0257630385458469,0.00541152711957693,0,0,0,0,-0.002284039,38
0,17,0.135,-0.0276032760739326,0.00529927294701338,0,0,0,0,-0.002284039,38
0,18,0.1425,-0.0288301017135382,0.00518947187811136,0,0,0,0,-0.002284039,38
0,19,0.15,-0.0300569273531437,0.00508273812010884,0,0,0,0,-0.002284039,38
0,20,0.1575,-0.0322038717567921,0.00498091150075197,0,0,0,0,-0.002284039,38
0,21,0.165,-0.0331239923834801,0.00488031189888716,0,0,0,0,-0.002284039,38
0,22,0.1725,-0.0349642299115658,0.00478339288383722,0,0,0,0,-0.002284039,38
0,23,0.18,-0.0364977605640888,0.00468831369653344,0,0,0,0,-0.002284039,38
0,24,0.1875,-0.0380312912166119,0.00459446152672172,0,0,0,0,-0.002284039,38
0,25,0.195,-0.0395648255944252,0.00450490321964026,0,0,0,0,-0.002284039,38
0,26,0.2025,-0.0407916493713856,0.00441534491255879,0,0,0,0,-0.002284039,38
0,27,0.21,-0.0423251800239086,0.00433130748569965,0,0,0,0,-0.002284039,38
0,28,0.2175,-0.0435520075261593,0.00425279047340155,0,0,0,0,-0.002284039,38
0,29,0.225,-0.0450855381786823,0.00417120661586523,0,0,0,0,-0.002284039,38
0,30,0.2325,-0.0466190688312054,0.0040933033451438,0,0,0,0,-0.002284039,38
0,31,0.24,-0.0487660132348537,0.00401785364374518,0,0,0,0,-0.002284039,38
0,32,0.2475,-0.0496861338615417,0.00394547078758478,0,0,0,0,-0.002284039,38
0,33,0.255,-0.0506062507629395,0.00387247488833964,0,0,0,0,-0.002284039,38
0,34,0.2625,-0.0524464920163155,0.00380315911024809,0,0,0,0,-0.002284039,38
0,35,0.27,-0.0539800226688385,0.00373691064305604,0,0,0,0,-0.002284039,38
0,36,0.2775,-0.0555135533213615,0.00367188896052539,0,0,0,0,-0.002284039,38
0,37,0.285,-0.0573537908494473,0.00360686704516411,0,0,0,0,-0.002284039,38
0,38,0.2925,-0.0588873252272606,0.003550433088094,0,0,0,0,-0.002284039,38
0,39,0.3,-0.060114149004221,0.00348541140556335,0,0,0,0,-0.002284039,38
0,40,0.3075,-0.061647679656744,0.0034271371550858,0,0,0,0,-0.002284039,38
0,41,0.315,-0.0628745034337044,0.00337070319801569,0,0,0,0,-0.002284039,38
0,42,0.3225,-0.0647147446870804,0.00331549602560699,0,0,0,0,-0.002284039,38
0,43,0.33,-0.0659415721893311,0.00326335593126714,0,0,0,0,-0.002284039,38
0,44,0.3375,-0.0677818059921265,0.00321182934567332,0,0,0,0,-0.002284039,38
0,45,0.345,-0.0690086334943771,0.0031541686039418,0,0,0,0,-0.002284039,38
0,46,0.3525,-0.0708488672971725,0.00310386880300939,0,0,0,0,-0.002284039,38
0,47,0.36,-0.0720756947994232,0.00305418227799237,0,0,0,0,-0.002284039,38
0,48,0.3675,-0.0736092254519463,0.00301001663319767,0,0,0,0,-0.002284039,38
0,49,0.375,-0.0751427561044693,0.00296217040158808,0,0,0,0,-0.002284039,38
0,50,0.3825,-0.0769829973578453,0.00291800475679338,0,0,0,0,-0.002284039,38
0,51,0.39,-0.078209824860096,0.00287383887916803,0,0,0,0,-0.002284039,38
0,52,0.3975,-0.079743355512619,0.00283151352778077,0,0,0,0,-0.002284039,38
0,53,0.405,-0.0809701830148697,0.00278612086549401,0,0,0,0,-0.002284039,38
0,54,0.4125,-0.0828104168176651,0.00274379551410675,0,0,0,0,-0.002284039,38
0,55,0.42,-0.0843439474701881,0.00270576402544975,0,0,0,0,-0.002284039,38
0,56,0.4275,-0.0852640718221664,0.00266343844123185,0,0,0,0,-0.002284039,38
0,57,0.435,-0.0874110162258148,0.00262724701315165,0,0,0,0,-0.002284039,38
0,58,0.4425,-0.0886378362774849,0.00258737523108721,0,0,0,0,-0.002284039,38
0,59,0.45,-0.0895579606294632,0.00255179731175303,0,0,0,0,-0.002284039,38
0,60,0.4575,-0.0913981944322586,0.00251683290116489,0,0,0,0,-0.002284039,38
0,61,0.465,-0.0932384356856346,0.00248064147308469,0,0,0,0,-0.002284039,38
0,62,0.4725,-0.0944652557373047,0.00244751712307334,0,0,0,0,-0.002284039,38
0,63,0.48,-0.0959987938404083,0.00241316598840058,0,0,0,0,-0.002284039,38
0,64,0.4875,-0.0978390276432037,0.00237881485372782,0,0,0,0,-0.002284039,38
0,65,0.495,-0.0984524413943291,0.00234814430586994,0,0,0,0,-0.002284039,38
0,66,0.5025,-0.100292682647705,0.00231747375801206,0,0,0,0,-0.002284039,38
0,67,0.51,-0.1021329164505,0.00228557619266212,0,0,0,0,-0.002284039,38
0,68,0.5175,-0.103053033351898,0.00225490564480424,0,0,0,0,-0.002284039,38
0,69,0.525,-0.104893274605274,0.00222607515752316,0,0,0,0,-0.002284039,38
0,70,0.5325,-0.106426805257797,0.00219663139432669,0,0,0,0,-0.002284039,38
0,71,0.54,-0.10796033591032,0.00217025470919907,0,0,0,0,-0.002284039,38
0,72,0.5475,-0.109187163412571,0.00214203773066401,0,0,0,0,-0.002284039,38
