Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.1,0.000307000009343028,0.000490730162709951,0,0,0,0,-0.002284039,39
0,1,0.2,-0.00981430895626545,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,2,0.3,-0.0196289122104645,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,3,0.4,-0.029750220477581,-0.00239230948500335,0,0,0,0,-0.002284039,39
0,4,0.5,-0.0398715287446976,-0.00300572207197547,0,0,0,0,-0.002284039,39
0,5,0.6,-0.0496861338615417,-0.00368047598749399,0,0,0,0,-0.002284039,39
0,6,0.7,-0.0598074421286583,-0.00417120615020394,0,0,0,0,-0.002284039,39
0,7,0.8,-0.0696220472455025,-0.00472327740862966,0,0,0,0,-0.002284039,39
0,8,0.9,-0.079743355512619,-0.00521400757133961,0,0,0,0,-0.002284039,39
0,9,1,-0.0895579606294632,-0.00576607929542661,0,0,0,0,-0.002284039,39
0,10,1.1,-0.0996792688965797,-0.00625680945813656,0,0,0,0,-0.002284039,39
0,11,1.2,-0.109800577163696,-0.00680888071656227,0,0,0,0,-0.002284039,39
0,12,1.3,-0.11961518228054,-0.00729961087927222,0,0,0,0,-0.002284039,39
0,13,1.4,-0.129736483097076,-0.00785168260335922,0,0,0,0,-0.002284039,39
0,14,1.5,-0.139551088213921,-0.00834241230040789,0,0,0,0,-0.002284039,39
0,15,1.6,-0.149672403931618,-0.00883314292877913,0,0,0,0,-0.002284039,39
0,16,1.7,-0.159487009048462,-0.00938521418720484,0,0,0,0,-0.002284039,39
0,17,1.8,-0.169608309864998,-0.00993728544563055,0,0,0,0,-0.002284039,39
0,18,1.9,-0.179729625582695,-0.0104280151426792,0,0,0,0,-0.002284039,39
0,19,2,-0.189544230699539,-0.0109800873324275,0,0,0,0,-0.002284039,39
0,20,2.1,-0.199665531516075,-0.0115321585908532,0,0,0,0,-0.002284039,39
0,21,2.2,-0.209480136632919,-0.0120228882879019,0,0,0,0,-0.002284039,39
0,22,2.3,-0.219601452350616,-0.0125749595463276,0,0,0,0,-0.002284039,39
0,23,2.4,-0.229722753167152,-0.0131270317360759,0,0,0,0,-0.002284039,39
0,24,2.5,-0.239537358283997,-0.0136177614331245,0,0,0,0,-0.002284039,39
0,25,2.6,-0.249351963400841,-0.0141698326915503,0,0,0,0,-0.002284039,39
0,26,2.7,-0.259473264217377,-0.0146605633199215,0,0,0,0,-0.002284039,39
0,27,2.8,-0.269594579935074,-0.0152126345783472,0,0,0,0,-0.002284039,39
0,28,2.9,-0.279715895652771,-0.0157647058367729,0,0,0,0,-0.002284039,39
0,29,3,-0.289530485868454,-0.0162554364651442,0,0,0,0,-0.002284039,39
0,30,3.1,-0.299345105886459,-0.0168075077235699,0,0,0,0,-0.002284039,39
0,31,3.2,-0.309466391801834,-0.0173595789819956,0,0,0,0,-0.002284039,39
0,32,3.3,-0.319587707519531,-0.0178503096103668,0,0,0,0,-0.002284039,39
