Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.1,2.93659866201779E-07,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,0.2,-0.0101210158318281,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,2,0.3,-0.0199356190860271,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,3,0.4,-0.0300569273531437,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,4,0.5,-0.0401782356202602,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,5,0.6,-0.0499928407371044,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,6,0.7,-0.060114149004221,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,7,0.8,-0.0702354609966278,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,8,0.9,-0.0800500586628914,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,9,1,-0.0901713669300079,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,10,1.1,-0.100292682647705,-0.001840237993747,0,0,0,0,-0.002284039,39
0,11,1.2,-0.110107280313969,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,12,1.3,-0.120228588581085,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,13,1.4,-0.130349904298782,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,14,1.5,-0.140164509415627,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,15,1.6,-0.150285810232162,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,16,1.7,-0.16040712594986,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,17,1.8,-0.170221731066704,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,18,1.9,-0.18034303188324,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,19,2,-0.190464347600937,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,20,2.1,-0.200278952717781,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,21,2.2,-0.210400253534317,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,22,2.3,-0.220521569252014,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,23,2.4,-0.230336174368858,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,24,2.5,-0.240457475185394,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,25,2.6,-0.250272065401077,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,26,2.7,-0.260393381118774,-0.001840237993747,0,0,0,0,-0.002284039,39
0,27,2.8,-0.270514696836472,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,28,2.9,-0.280636012554169,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,29,3,-0.290450602769852,-0.00208560307510197,0,0,0,0,-0.002284039,39
0,30,3.1,-0.300571918487549,-0.00220828573219478,0,0,0,0,-0.002284039,39
0,31,3.2,-0.310693234205246,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,32,3.3,-0.320507824420929,-0.00239230948500335,0,0,0,0,-0.002284039,39
0,33,3.4,-0.330629140138626,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,34,3.5,-0.340750455856323,-0.00269901589490473,0,0,0,0,-0.002284039,39
0,35,3.6,-0.350565046072006,-0.0028830396477133,0,0,0,0,-0.002284039,39
0,36,3.7,-0.360686361789703,-0.00306706340052187,0,0,0,0,-0.002284039,39
0,37,3.8,-0.370807677507401,-0.00325108715333045,0,0,0,0,-0.002284039,39
0,38,3.9,-0.380622267723084,-0.00337376981042326,0,0,0,0,-0.002284039,39
0,39,4,-0.390743583440781,-0.00343511090613902,0,0,0,0,-0.002284039,39
0,40,4.1,-0.400864899158478,-0.00337376981042326,0,0,0,0,-0.002284039,39
0,41,4.2,-0.410986214876175,-0.00331242848187685,0,0,0,0,-0.002284039,39
0,42,4.3,-0.420800805091858,-0.00325108715333045,0,0,0,0,-0.002284039,39
0,43,4.4,-0.430922120809555,-0.00325108715333045,0,0,0,0,-0.002284039,39
0,44,4.5,-0.440736711025238,-0.00318974582478404,0,0,0,0,-0.002284039,39
0,45,4.6,-0.450858026742935,-0.00318974582478404,0,0,0,0,-0.002284039,39
0,46,4.7,-0.460979342460632,-0.00331242848187685,0,0,0,0,-0.002284039,39
0,47,4.8,-0.471100658178329,-0.00337376981042326,0,0,0,0,-0.002284039,39
0,48,4.9,-0.480915248394012,-0.00343511090613902,0,0,0,0,-0.002284039,39
0,49,5,-0.49103656411171,-0.00349645223468542,0,0,0,0,-0.002284039,39
0,50,5.1,-0.500851154327393,-0.00361913489177823,0,0,0,0,-0.002284039,39
0,51,5.2,-0.510972440242767,-0.0037418173160404,0,0,0,0,-0.002284039,39
0,52,5.3,-0.521093785762787,-0.0038031586445868,0,0,0,0,-0.002284039,39
0,53,5.4,-0.531215071678162,-0.00392584130167961,0,0,0,0,-0.002284039,39
0,54,5.5,-0.541029691696167,-0.00410986505448818,0,0,0,0,-0.002284039,39
0,55,5.6,-0.551150977611542,-0.00423254771158099,0,0,0,0,-0.002284039,39
0,56,5.7,-0.561272323131561,-0.00435522990301251,0,0,0,0,-0.002284039,39
0,57,5.8,-0.571086883544922,-0.00447791256010532,0,0,0,0,-0.002284039,39
0,58,5.9,-0.581208229064941,-0.00453925365582109,0,0,0,0,-0.002284039,39
0,59,6,-0.591329514980316,-0.00460059521719813,0,0,0,0,-0.002284039,39
0,60,6.1,-0.601144134998322,-0.00460059521719813,0,0,0,0,-0.002284039,39
0,61,6.2,-0.611265420913696,-0.00466193631291389,0,0,0,0,-0.002284039,39
0,62,6.3,-0.621386766433716,-0.00472327740862966,0,0,0,0,-0.002284039,39
0,63,6.4,-0.631201326847076,-0.00484596006572247,0,0,0,0,-0.002284039,39
0,64,6.5,-0.641322672367096,-0.00496864272281528,0,0,0,0,-0.002284039,39
0,65,6.6,-0.651443958282471,-0.00509132537990808,0,0,0,0,-0.002284039,39
0,66,6.7,-0.661258578300476,-0.00539803178980947,0,0,0,0,-0.002284039,39
0,67,6.8,-0.671379864215851,-0.00576607929542661,0,0,0,0,-0.002284039,39
0,68,6.9,-0.68150120973587,-0.00619546789675951,0,0,0,0,-0.002284039,39
0,69,7,-0.691315770149231,-0.00680888071656227,0,0,0,0,-0.002284039,39
0,70,7.1,-0.70143711566925,-0.00754497619345784,0,0,0,0,-0.002284039,39
1,71,7.2,-0.691315770149231,-0.00772899994626641,0,0,0,0,-0.002284039,39
1,72,7.3,-0.68150120973587,-0.00766765838488936,0,0,0,0,-0.002284039,39
1,73,7.4,-0.671379864215851,-0.00754497619345784,0,0,0,0,-0.002284039,39
1,74,7.5,-0.66156530380249,-0.00742229353636503,0,0,0,0,-0.002284039,39
1,75,7.6,-0.651443958282471,-0.00729961087927222,0,0,0,0,-0.002284039,39
1,76,7.7,-0.641322672367096,-0.00699290446937084,0,0,0,0,-0.002284039,39
1,77,7.8,-0.631508052349091,-0.00674753962084651,0,0,0,0,-0.002284039,39
1,78,7.9,-0.621386766433716,-0.00656351586803794,0,0,0,0,-0.002284039,39
1,79,8,-0.611265420913696,-0.00625680945813656,0,0,0,0,-0.002284039,39
1,80,8.1,-0.601450860500336,-0.00595010304823518,0,0,0,0,-0.002284039,39
