Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.1,2.93659866201779E-07,-0.0028216983191669,0,0,0,0,-0.002284039,39
0,1,0.2,-0.0101210158318281,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,2,0.3,-0.0199356190860271,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,3,0.4,-0.0300569273531437,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,4,0.5,-0.0398715287446976,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,5,0.6,-0.0499928407371044,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,6,0.7,-0.0598074421286583,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,7,0.8,-0.0699287503957748,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,8,0.9,-0.079743355512619,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,9,1,-0.0898646637797356,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,10,1.1,-0.0996792688965797,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,11,1.2,-0.109800577163696,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,12,1.3,-0.11961518228054,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,13,1.4,-0.129736483097076,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,14,1.5,-0.139551088213921,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,15,1.6,-0.149672403931618,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,16,1.7,-0.159487009048462,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,17,1.8,-0.169608309864998,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,18,1.9,-0.179422914981842,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,19,2,-0.189544230699539,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,20,2.1,-0.199665531516075,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,21,2.2,-0.209480136632919,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,22,2.3,-0.219601452350616,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,23,2.4,-0.229722753167152,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,24,2.5,-0.239537358283997,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,25,2.6,-0.249351963400841,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,26,2.7,-0.259473264217377,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,27,2.8,-0.269594579935074,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,28,2.9,-0.279715895652771,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,29,3,-0.289530485868454,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,30,3.1,-0.299651801586151,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,31,3.2,-0.309773117303848,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,32,3.3,-0.319894433021545,-0.00239230948500335,0,0,0,0,-0.002284039,39
0,33,3.4,-0.329709023237228,-0.00239230948500335,0,0,0,0,-0.002284039,39
0,34,3.5,-0.339830338954926,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,35,3.6,-0.349644929170609,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,36,3.7,-0.359766244888306,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,37,3.8,-0.369887560606003,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,38,3.9,-0.379702150821686,-0.00239230948500335,0,0,0,0,-0.002284039,39
0,39,4,-0.389823466539383,-0.00239230948500335,0,0,0,0,-0.002284039,39
0,40,4.1,-0.39994478225708,-0.00239230948500335,0,0,0,0,-0.002284039,39
0,41,4.2,-0.409759372472763,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,42,4.3,-0.41988068819046,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,43,4.4,-0.429695278406143,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,44,4.5,-0.43981659412384,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,45,4.6,-0.449631214141846,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,46,4.7,-0.459445804357529,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,47,4.8,-0.469567120075226,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,48,4.9,-0.479688435792923,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,49,5,-0.489503026008606,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,50,5.1,-0.499624341726303,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,51,5.2,-0.509438931941986,-0.00263767456635833,0,0,0,0,-0.002284039,39
0,52,5.3,-0.519560217857361,-0.00263767456635833,0,0,0,0,-0.002284039,39
0,53,5.4,-0.529374837875366,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,54,5.5,-0.539496183395386,-0.00263767456635833,0,0,0,0,-0.002284039,39
0,55,5.6,-0.549310743808746,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,56,5.7,-0.559125363826752,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,57,5.8,-0.569246649742126,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,58,5.9,-0.579367995262146,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,59,6,-0.589182615280151,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,60,6.1,-0.599303901195526,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,61,6.2,-0.609425187110901,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,62,6.3,-0.619239807128906,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,63,6.4,-0.629361093044281,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,64,6.5,-0.639175713062286,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,65,6.6,-0.649296998977661,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,66,6.7,-0.659418344497681,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,67,6.8,-0.669232964515686,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,68,6.9,-0.679354250431061,-0.00269901589490473,0,0,0,0,-0.002284039,39
0,69,7,-0.689475536346436,-0.00269901589490473,0,0,0,0,-0.002284039,39
0,70,7.1,-0.699290156364441,-0.00276035699062049,0,0,0,0,-0.002284039,39
0,71,7.2,-0.709411442279816,-0.0028216983191669,0,0,0,0,-0.002284039,39
0,72,7.3,-0.719532787799835,-0.0028830396477133,0,0,0,0,-0.002284039,39
0,73,7.4,-0.729347407817841,-0.00294438097625971,0,0,0,0,-0.002284039,39
0,74,7.5,-0.739468693733215,-0.00300572207197547,0,0,0,0,-0.002284039,39
0,75,7.6,-0.74958997964859,-0.00306706340052187,0,0,0,0,-0.002284039,39
0,76,7.7,-0.759404599666595,-0.00306706340052187,0,0,0,0,-0.002284039,39
0,77,7.8,-0.76952588558197,-0.00312840472906828,0,0,0,0,-0.002284039,39
0,78,7.9,-0.779340505599976,-0.00318974582478404,0,0,0,0,-0.002284039,39
0,79,8,-0.789461851119995,-0.00318974582478404,0,0,0,0,-0.002284039,39
0,80,8.1,-0.79958313703537,-0.00331242848187685,0,0,0,0,-0.002284039,39
0,81,8.2,-0.809397757053375,-0.00337376981042326,0,0,0,0,-0.002284039,39
0,82,8.3,-0.81951904296875,-0.00337376981042326,0,0,0,0,-0.002284039,39
0,83,8.4,-0.829333662986755,-0.00343511090613902,0,0,0,0,-0.002284039,39
0,84,8.5,-0.83945494890213,-0.00349645223468542,0,0,0,0,-0.002284039,39
0,85,8.6,-0.849269568920136,-0.00349645223468542,0,0,0,0,-0.002284039,39
0,86,8.7,-0.85939085483551,-0.00355779356323183,0,0,0,0,-0.002284039,39
0,87,8.8,-0.869205474853516,-0.00361913489177823,0,0,0,0,-0.002284039,39
0,88,8.9,-0.87932676076889,-0.00361913489177823,0,0,0,0,-0.002284039,39
0,89,9,-0.889141380786896,-0.00361913489177823,0,0,0,0,-0.002284039,39
0,90,9.1,-0.899262666702271,-0.0037418173160404,0,0,0,0,-0.002284039,39
0,91,9.2,-0.909077286720276,-0.0037418173160404,0,0,0,0,-0.002284039,39
0,92,9.3,-0.919198632240295,-0.0037418173160404,0,0,0,0,-0.002284039,39
0,93,9.4,-0.929013192653656,-0.0038031586445868,0,0,0,0,-0.002284039,39
0,94,9.5,-0.939134538173676,-0.0038031586445868,0,0,0,0,-0.002284039,39
0,95,9.6,-0.94925582408905,-0.0038031586445868,0,0,0,0,-0.002284039,39
0,96,9.7,-0.959070444107056,-0.00386449997313321,0,0,0,0,-0.002284039,39
0,97,9.8,-0.968885064125061,-0.00392584130167961,0,0,0,0,-0.002284039,39
0,98,9.9,-0.979006350040436,-0.00392584130167961,0,0,0,0,-0.002284039,39
0,99,10,-0.988820970058441,-0.00392584130167961,0,0,0,0,-0.002284039,39
0,100,10.1,-0.998942255973816,-0.00398718239739537,0,0,0,0,-0.002284039,39
0,101,10.2,-1.00906360149384,-0.00404852349311113,0,0,0,0,-0.002284039,39
0,102,10.3,-1.01918482780457,-0.00404852349311113,0,0,0,0,-0.002284039,39
0,103,10.4,-1.02899944782257,-0.00417120615020394,0,0,0,0,-0.002284039,39
0,104,10.5,-1.03912079334259,-0.00417120615020394,0,0,0,0,-0.002284039,39
0,105,10.6,-1.04924213886261,-0.00423254771158099,0,0,0,0,-0.002284039,39
0,106,10.7,-1.05905663967133,-0.00429388880729675,0,0,0,0,-0.002284039,39
0,107,10.8,-1.06917798519135,-0.00435522990301251,0,0,0,0,-0.002284039,39
0,108,10.9,-1.07929933071136,-0.00441657146438956,0,0,0,0,-0.002284039,39
0,109,11,-1.08911395072937,-0.00447791256010532,0,0,0,0,-0.002284039,39
0,110,11.1,-1.0992351770401,-0.00460059521719813,0,0,0,0,-0.002284039,39
0,111,11.2,-1.10904979705811,-0.00466193631291389,0,0,0,0,-0.002284039,39
0,112,11.3,-1.11917114257813,-0.00472327740862966,0,0,0,0,-0.002284039,39
0,113,11.4,-1.12929248809814,-0.00484596006572247,0,0,0,0,-0.002284039,39
0,114,11.5,-1.13910710811615,-0.00490730162709951,0,0,0,0,-0.002284039,39
0,115,11.6,-1.14922833442688,-0.00502998381853104,0,0,0,0,-0.002284039,39
0,116,11.7,-1.15904295444489,-0.00509132537990808,0,0,0,0,-0.002284039,39
0,117,11.8,-1.17008435726166,-0.00484596006572247,0,0,0,0,-0.002284039,39
0,118,11.9,-1.17959225177765,-0.0056433966383338,0,0,0,0,-0.002284039,39
0,119,12,-1.18971359729767,-0.00472327740862966,0,0,0,0,-0.002284039,39
0,120,12.1,-1.20136845111847,-0.00533669022843242,0,0,0,0,-0.002284039,39
0,121,12.2,-1.20903611183167,-0.00515266647562385,0,0,0,0,-0.002284039,39
0,122,12.3,-1.22007751464844,-0.00699290446937084,0,0,0,0,-0.002284039,39
0,123,12.4,-1.23234581947327,-0.00631815055385232,0,0,0,0,-0.002284039,39
0,124,12.5,-1.23878657817841,-0.00558205554261804,0,0,0,0,-0.002284039,39
0,125,12.6,-1.24921464920044,-0.00625680945813656,0,0,0,0,-0.002284039,39
0,126,12.7,-1.25964260101318,-0.00680888071656227,0,0,0,0,-0.002284039,39
0,127,12.8,-1.27007067203522,-0.00699290446937084,0,0,0,0,-0.002284039,39
0,128,12.9,-1.27957856655121,-0.00680888071656227,0,0,0,0,-0.002284039,39
0,129,13,-1.28847301006317,-0.00687022181227803,0,0,0,0,-0.002284039,39
0,130,13.1,-1.29859435558319,-0.00723826978355646,0,0,0,0,-0.002284039,39
0,131,13.2,-1.30871570110321,-0.00705424603074789,0,0,0,0,-0.002284039,39
0,132,13.3,-1.31791687011719,-0.00680888071656227,0,0,0,0,-0.002284039,39
0,133,13.4,-1.32803821563721,-0.00705424603074789,0,0,0,0,-0.002284039,39
0,134,13.5,-1.33846616744995,-0.00687022181227803,0,0,0,0,-0.002284039,39
0,135,13.6,-1.34766733646393,-0.00656351586803794,0,0,0,0,-0.002284039,39
0,136,13.7,-1.35717523097992,-0.0066248569637537,0,0,0,0,-0.002284039,39
0,137,13.8,-1.36760330200195,-0.00656351586803794,0,0,0,0,-0.002284039,39
0,138,13.9,-1.37711119651794,-0.00631815055385232,0,0,0,0,-0.002284039,39
0,139,14,-1.38661909103394,-0.00637949164956808,0,0,0,0,-0.002284039,39
0,140,14.1,-1.39766049385071,-0.00668619805946946,0,0,0,0,-0.002284039,39
0,141,14.2,-1.40778183937073,-0.00650217430666089,0,0,0,0,-0.002284039,39
0,142,14.3,-1.41728973388672,-0.00644083321094513,0,0,0,0,-0.002284039,39
0,143,14.4,-1.42802441120148,-0.00680888071656227,0,0,0,0,-0.002284039,39
0,144,14.5,-1.4381457567215,-0.0066248569637537,0,0,0,0,-0.002284039,39
0,145,14.6,-1.4479603767395,-0.0066248569637537,0,0,0,0,-0.002284039,39
0,146,14.7,-1.45838832855225,-0.00693156337365508,0,0,0,0,-0.002284039,39
0,147,14.8,-1.46850967407227,-0.00693156337365508,0,0,0,0,-0.002284039,39
0,148,14.9,-1.47863101959229,-0.00705424603074789,0,0,0,0,-0.002284039,39
0,149,15,-1.48875224590302,-0.00748363463208079,0,0,0,0,-0.002284039,39
0,150,15.1,-1.49918031692505,-0.00766765838488936,0,0,0,0,-0.002284039,39
0,151,15.2,-1.50930166244507,-0.00779034104198217,0,0,0,0,-0.002284039,39
0,152,15.3,-1.5194228887558,-0.00821973010897636,0,0,0,0,-0.002284039,39
0,153,15.4,-1.52985095977783,-0.00840375386178494,0,0,0,0,-0.002284039,39
0,154,15.5,-1.53966557979584,-0.00858777761459351,0,0,0,0,-0.002284039,39
0,155,15.6,-1.54948008060455,-0.0088944835588336,0,0,0,0,-0.002284039,39
0,156,15.7,-1.55868136882782,-0.00956923794001341,0,0,0,0,-0.002284039,39
0,157,15.8,-1.56880259513855,-0.00981460325419903,0,0,0,0,-0.002284039,39
0,158,15.9,-1.57892394065857,-0.0101213091984391,0,0,0,0,-0.002284039,39
0,159,16,-1.58873856067657,-0.0103666745126247,0,0,0,0,-0.002284039,39
0,160,16.1,-1.59885990619659,-0.0105506982654333,0,0,0,0,-0.002284039,39
0,161,16.2,-1.60898113250732,-0.0106733804568648,0,0,0,0,-0.002284039,39
0,162,16.3,-1.61879575252533,-0.0108574042096734,0,0,0,0,-0.002284039,39
0,163,16.4,-1.62891709804535,-0.0109800873324275,0,0,0,0,-0.002284039,39
0,164,16.5,-1.63903844356537,-0.011102769523859,0,0,0,0,-0.002284039,39
0,165,16.6,-1.64885294437408,-0.0112254517152905,0,0,0,0,-0.002284039,39
0,166,16.7,-1.65866756439209,-0.0112867932766676,0,0,0,0,-0.002284039,39
0,167,16.8,-1.66878890991211,-0.0113481348380446,0,0,0,0,-0.002284039,39
0,168,16.9,-1.67860352993011,-0.0114708170294762,0,0,0,0,-0.002284039,39
0,169,17,-1.68872475624084,-0.0115934992209077,0,0,0,0,-0.002284039,39
0,170,17.1,-1.69853937625885,-0.0117161823436618,0,0,0,0,-0.002284039,39
0,171,17.2,-1.70866072177887,-0.0117775239050388,0,0,0,0,-0.002284039,39
0,172,17.3,-1.71847534179688,-0.0118388645350933,0,0,0,0,-0.002284039,39
0,173,17.4,-1.72859668731689,-0.0120228882879019,0,0,0,0,-0.002284039,39
0,174,17.5,-1.73841118812561,-0.0132497139275074,0,0,0,0,-0.002284039,39
0,175,17.6,-1.74853253364563,-0.0150899523869157,0,0,0,0,-0.002284039,39
0,176,17.7,-1.75865387916565,-0.017175555229187,0,0,0,0,-0.002284039,39
0,177,17.8,-1.76846849918365,-0.0191998165100813,0,0,0,0,-0.002284039,39
0,178,17.9,-1.77828311920166,-0.0212854202836752,0,0,0,0,-0.002284039,39
0,179,18,-1.78840434551239,-0.0238004121929407,0,0,0,0,-0.002284039,39
