Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.000307000009343028,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,2,-0.199358820915222,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,2,3,-0.399331361055374,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,3,4,-0.599303901195526,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,4,5,-0.799276411533356,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,5,6,-0.998942255973816,-0.00202426174655557,0,0,0,0,-0.002284039,39
1,6,7,-0.79958313703537,-0.00104280153755099,0,0,0,0,-0.002284039,39
1,7,8,-0.59961062669754,-0.000429388863267377,0,0,0,0,-0.002284039,39
1,8,9,-0.39994478225708,-0.000368047622032464,0,0,0,0,-0.002284039,39
1,9,10,-0.199972242116928,-0.000245365081354976,0,0,0,0,-0.002284039,39
1,10,11,2.93659866201779E-07,0.00030670635169372,0,0,0,0,-0.002284039,39
1,11,12,0.199666127562523,0.0321428254246712,0,0,0,0,-0.002284039,39
1,12,13,0.399331957101822,0.0979620069265366,0,0,0,0,-0.002284039,39
1,13,14,0.599304497241974,0.0187704283744097,0,0,0,0,-0.002284039,39
1,14,15,0.798970282077789,0.0295051503926516,0,0,0,0,-0.002284039,39
1,15,16,0.998942852020264,0.0496250875294209,0,0,0,0,-0.002284039,39
2,16,17,0.798970282077789,0.0641016215085983,0,0,0,0,-0.002284039,39
2,17,18,0.59899777173996,0.057599451392889,0,0,0,0,-0.002284039,39
2,18,19,0.399331957101822,0.0399945080280304,0,0,0,0,-0.002284039,39
2,19,20,0.19935941696167,-0.00269901589490473,0,0,0,0,-0.002284039,39
2,20,21,2.93659866201779E-07,-0.0677207633852959,0,0,0,0,-0.002284039,39
