Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.000307000009343028,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,2,-0.0993725582957268,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,2,3,-0.19905212521553,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,3,4,-0.299038380384445,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,4,5,-0.399024665355682,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,5,6,-0.499010920524597,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,6,7,-0.598997175693512,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,7,8,-0.698983430862427,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,8,9,-0.798969745635986,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,9,10,-0.898649275302887,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,10,11,-0.998635530471802,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,11,12,-1.09862184524536,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,12,13,-1.19860804080963,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,13,14,-1.29859435558319,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,14,15,-1.39827394485474,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,15,16,-1.49826014041901,-0.00214694440364838,0,0,0,0,-0.002284039,39
0,16,17,-1.59824645519257,-0.00312840472906828,0,0,0,0,-0.002284039,39
0,17,18,-1.69823276996613,-0.00472327740862966,0,0,0,0,-0.002284039,39
0,18,19,-1.7982189655304,-0.00797436479479074,0,0,0,0,-0.002284039,39
0,19,20,-1.89820528030396,-0.0129430079832673,0,0,0,0,-0.002284039,39
0,20,21,-1.99788475036621,-0.0639175996184349,0,0,0,0,-0.002284039,39
1,21,22,-1.89820528030396,-0.0117161823436618,0,0,0,0,-0.002284039,39
1,22,23,-1.79852569103241,0.0362526886165142,0,0,0,0,-0.002284039,39
1,23,24,-1.69853937625885,-0.00386449997313321,0,0,0,0,-0.002284039,39
1,24,25,-1.59855318069458,-0.00208560307510197,0,0,0,0,-0.002284039,39
1,25,26,-1.49856686592102,-0.00141084915958345,0,0,0,0,-0.002284039,39
1,26,27,-1.39858067035675,-0.00116548407822847,0,0,0,0,-0.002284039,39
1,27,28,-1.29859435558319,-0.00104280153755099,0,0,0,0,-0.002284039,39
1,28,29,-1.19891476631165,-0.000981460325419903,0,0,0,0,-0.002284039,39
1,29,30,-1.09892857074738,-0.000920118996873498,0,0,0,0,-0.002284039,39
