Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.000307000009343028,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,2,-0.19905212521553,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,2,3,-0.399024665355682,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,3,4,-0.598997175693512,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,4,5,-0.798663020133972,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,5,6,-0.998635530471802,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,6,7,-1.19860804080963,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,7,8,-1.39858067035675,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,8,9,-1.59824645519257,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,9,10,-1.7982189655304,-0.0028216983191669,0,0,0,0,-0.002284039,39
0,10,11,-1.99788475036621,-0.0606665126979351,0,0,0,0,-0.002284039,39
1,11,12,-1.7982189655304,0.0391970686614513,0,0,0,0,-0.002284039,39
1,12,13,-1.59855318069458,-0.000858777726534754,0,0,0,0,-0.002284039,39
1,13,14,-1.39858067035675,-0.000552071433048695,0,0,0,0,-0.002284039,39
1,14,15,-1.19891476631165,-0.000552071433048695,0,0,0,0,-0.002284039,39
1,15,16,-0.998942255973816,-0.000552071433048695,0,0,0,0,-0.002284039,39
1,16,17,-0.798969745635986,-0.000368047622032464,0,0,0,0,-0.002284039,39
1,17,18,-0.599303901195526,0.000122682540677488,0,0,0,0,-0.002284039,39
1,18,19,-0.399331361055374,0,0,0,0,0,-0.002284039,39
1,19,20,-0.199358820915222,0,0,0,0,0,-0.002284039,39
1,20,21,0.000307000009343028,0.000429388863267377,0,0,0,0,-0.002284039,39
1,21,22,0.199972823262215,0.0218374915421009,0,0,0,0,-0.002284039,39
1,22,23,0.399945348501205,0.0345351323485374,0,0,0,0,-0.002284039,39
1,23,24,0.599611163139343,0.0406079180538654,0,0,0,0,-0.002284039,39
1,24,25,0.799583733081818,0.057722132652998,0,0,0,0,-0.002284039,39
1,25,26,0.999249577522278,0.070665143430233,0,0,0,0,-0.002284039,39
2,26,27,0.799583733081818,0.0761245116591454,0,0,0,0,-0.002284039,39
2,27,28,0.599611163139343,0.060298465192318,0,0,0,0,-0.002284039,39
2,28,29,0.399638652801514,0.0355165936052799,0,0,0,0,-0.002284039,39
2,29,30,0.199972823262215,-0.0056433966383338,0,0,0,0,-0.002284039,39
2,30,31,0.000307000009343028,-0.0747136622667313,0,0,0,0,-0.002284039,39
2,31,32,-0.199358820915222,-0.106795147061348,0,0,0,0,-0.002284039,39
2,32,33,-0.399331361055374,-0.0555751882493496,0,0,0,0,-0.002284039,39
2,33,34,-0.599303901195526,-0.0285236891359091,0,0,0,0,-0.002284039,39
2,34,35,-0.798969745635986,-0.011102769523859,0,0,0,0,-0.002284039,39
2,35,36,-0.998942255973816,-0.00466193631291389,0,0,0,0,-0.002284039,39
