Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,-0.000306412694044411,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,1,2,2.93659866201779E-07,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,2,3,-0.000306412694044411,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,3,4,2.93659866201779E-07,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,4,5,-0.000306412694044411,-9.81401512945013E-07,0,0,0,0,-0.002284039,41
0,5,6,-0.000306412694044411,-6.13353961398388E-07,0,0,0,0,-0.002284039,41
0,6,7,-0.000306412694044411,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,7,8,-0.000306412694044411,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,8,9,2.93659866201779E-07,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,9,10,-0.000306412694044411,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,10,11,-0.000306412694044411,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,11,12,2.93659866201779E-07,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,12,13,-0.000306412694044411,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,13,14,-0.000306412694044411,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,14,15,2.93659866201779E-07,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,15,16,2.93659866201779E-07,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,16,17,2.93659866201779E-07,-4.29330157203367E-07,0,0,0,0,-0.002284039,41
0,17,18,2.93659866201779E-07,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,18,19,2.93659866201779E-07,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,19,20,2.93659866201779E-07,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,20,21,2.93659866201779E-07,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,21,22,2.93659866201779E-07,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,22,23,2.93659866201779E-07,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,23,24,2.93659866201779E-07,-4.90671425268374E-07,0,0,0,0,-0.002284039,41
0,24,25,2.93659866201779E-07,-1.04274283785344E-06,0,0,0,0,-0.002284039,41
0,25,26,2.93659866201779E-07,-4.90671425268374E-07,0,0,0,0,-0.002284039,41
0,26,27,2.93659866201779E-07,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,27,28,2.93659866201779E-07,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,28,29,2.93659866201779E-07,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,29,30,2.93659866201779E-07,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,30,31,2.93659866201779E-07,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,31,32,2.93659866201779E-07,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,32,33,2.93659866201779E-07,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,33,34,2.93659866201779E-07,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,34,35,2.93659866201779E-07,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,35,36,2.93659866201779E-07,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,36,37,2.93659866201779E-07,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,37,38,2.93659866201779E-07,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,38,39,2.93659866201779E-07,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,39,40,2.93659866201779E-07,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,40,41,2.93659866201779E-07,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,41,42,2.93659866201779E-07,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,42,43,-0.000306412694044411,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,43,44,2.93659866201779E-07,-5.52012693333381E-07,0,0,0,0,-0.002284039,41
0,44,45,2.93659866201779E-07,-9.20060301723424E-07,0,0,0,0,-0.002284039,41
