Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.000307000009343028,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,2,-0.19905212521553,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,2,3,-0.399024665355682,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,3,4,-0.598997175693512,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,4,5,-0.798969745635986,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,5,6,-0.998635530471802,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,6,7,-1.19860804080963,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,7,8,-1.39827394485474,-0.001840237993747,0,0,0,0,-0.002284039,39
0,8,9,-1.59824645519257,-0.00386449997313321,0,0,0,0,-0.002284039,39
0,9,10,-1.7982189655304,-0.011041427962482,0,0,0,0,-0.002284039,39
0,10,11,-1.99788475036621,-0.0745909810066223,0,0,0,0,-0.002284039,39
1,11,12,-1.7982189655304,0.022082855924964,0,0,0,0,-0.002284039,39
1,12,13,-1.59824645519257,-0.00276035699062049,0,0,0,0,-0.002284039,39
1,13,14,-1.39858067035675,-0.000858777726534754,0,0,0,0,-0.002284039,39
1,14,15,-1.19860804080963,-0.000613412703387439,0,0,0,0,-0.002284039,39
1,15,16,-0.998635530471802,-0.000490730162709951,0,0,0,0,-0.002284039,39
1,16,17,-0.798969745635986,-0.000368047622032464,0,0,0,0,-0.002284039,39
1,17,18,-0.598997175693512,0,0,0,0,0,-0.002284039,39
1,18,19,-0.399024665355682,0.000245365081354976,0,0,0,0,-0.002284039,39
1,19,20,-0.199358820915222,0.000429388863267377,0,0,0,0,-0.002284039,39
1,20,21,0.000307000009343028,0.000981460325419903,0,0,0,0,-0.002284039,39
1,21,22,0.199972823262215,0.0284010078758001,0,0,0,0,-0.002284039,39
1,22,23,0.399945348501205,0.0917665362358093,0,0,0,0,-0.002284039,39
1,23,24,0.599917888641357,0.0547164119780064,0,0,0,0,-0.002284039,39
1,24,25,0.799583733081818,0.0614026077091694,0,0,0,0,-0.002284039,39
1,25,26,0.999556243419647,0.0769832879304886,0,0,0,0,-0.002284039,39
2,26,27,0.799583733081818,0.0782101154327393,0,0,0,0,-0.002284039,39
2,27,28,0.599611163139343,0.0614639520645142,0,0,0,0,-0.002284039,39
2,28,29,0.399945348501205,0.0216534677892923,0,0,0,0,-0.002284039,39
2,29,30,0.200279533863068,-0.0753270760178566,0,0,0,0,-0.002284039,39
2,30,31,0.000307000009343028,-0.14329320192337,0,0,0,0,-0.002284039,39
2,31,32,-0.199358820915222,-0.0418347455561161,0,0,0,0,-0.002284039,39
2,32,33,-0.399331361055374,-0.0109187457710505,0,0,0,0,-0.002284039,39
2,33,34,-0.599303901195526,-0.00466193631291389,0,0,0,0,-0.002284039,39
2,34,35,-0.798969745635986,-0.00294438097625971,0,0,0,0,-0.002284039,39
2,35,36,-0.998942255973816,-0.00435522990301251,0,0,0,0,-0.002284039,39
